trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
0000000000000000003b,000000000000000000ka,000000000000000000ka,000000000000000000be,,000000000000000000pm,1,1,922
0000000000000000001v,000000000000000000nw,000000000000000000nw,000000000000000000fu,,000000000000000003d7,0,0,4363
0000000000000000002h,000000000000000000jl,000000000000000000jl,000000000000000000ew,,000000000000000001d5,1,1,1769
0000000000000000002k,000000000000000000pc,000000000000000000pc,0000000000000000002x,,000000000000000003bh,0,0,4301
0000000000000000003e,000000000000000000at,000000000000000000at,0000000000000000009q,,000000000000000002rk,1,1,3584
00000000000000000041,000000000000000000aj,000000000000000000aj,0000000000000000000j,,0000000000000000010d,0,0,1309
00000000000000000043,000000000000000000e0,000000000000000000e0,000000000000000000dq,,000000000000000002no,1,1,3444
0000000000000000004t,000000000000000000kf,000000000000000000kf,0000000000000000002r,,000000000000000002cw,0,0,3056
0000000000000000000w,0000000000000000008q,0000000000000000008q,000000000000000000fg,,0000000000000000004y,1,1,178
0000000000000000001n,0000000000000000000q,0000000000000000000q,00000000000000000096,,000000000000000000dr,0,0,495
0000000000000000002n,000000000000000000cb,000000000000000000cb,000000000000000000e4,,000000000000000001gj,1,1,1891
0000000000000000001j,000000000000000000rx,000000000000000000rx,0000000000000000002j,,0000000000000000015g,0,0,1492
0000000000000000001m,000000000000000000tj,000000000000000000tj,0000000000000000009o,,0000000000000000000j,1,1,19
0000000000000000005g,000000000000000000e3,000000000000000000e3,00000000000000000047,,000000000000000000v5,0,0,1121
0000000000000000001f,000000000000000000cc,000000000000000000cc,0000000000000000004n,,000000000000000000e4,1,1,508
0000000000000000004q,000000000000000000c3,000000000000000000c3,0000000000000000008i,,000000000000000002of,0,0,3471
0000000000000000006u,000000000000000000cx,000000000000000000cx,0000000000000000000b,,000000000000000003l5,1,1,4649
0000000000000000003n,00000000000000000048,00000000000000000048,0000000000000000007y,,0000000000000000035y,0,0,4102
0000000000000000001r,000000000000000000dj,000000000000000000dj,000000000000000000ad,,000000000000000001fe,1,1,1850
0000000000000000005u,000000000000000000cz,000000000000000000cz,000000000000000000af,,000000000000000002xv,0,0,3811
00000000000000000012,000000000000000000g5,000000000000000000g5,0000000000000000006p,,000000000000000003mf,1,1,4695
0000000000000000005i,000000000000000000t3,000000000000000000t3,0000000000000000005w,,000000000000000001fs,0,0,1864
0000000000000000002v,0000000000000000007o,0000000000000000007o,000000000000000000cz,,0000000000000000034g,1,1,4048
00000000000000000007,0000000000000000002c,0000000000000000002c,0000000000000000000y,,000000000000000000y8,0,0,1232
00000000000000000052,00000000000000000022,00000000000000000022,00000000000000000074,,0000000000000000021b,1,1,2639
0000000000000000000m,000000000000000000qh,000000000000000000qh,000000000000000000ed,,000000000000000003n7,0,0,4723
00000000000000000069,000000000000000000kj,000000000000000000kj,00000000000000000091,,0000000000000000026d,1,1,2821
0000000000000000001w,000000000000000000ic,000000000000000000ic,000000000000000000ai,,000000000000000002ca,0,0,3034
0000000000000000005f,000000000000000000dq,000000000000000000dq,0000000000000000006z,,00000000000000000329,1,1,3969
0000000000000000000p,00000000000000000053,00000000000000000053,000000000000000000d4,,0000000000000000033e,0,0,4010
0000000000000000004p,000000000000000000ly,000000000000000000ly,0000000000000000004k,,000000000000000002up,1,1,3697
0000000000000000006b,0000000000000000009g,0000000000000000009g,0000000000000000006c,,00000000000000000073,0,0,255
0000000000000000002c,0000000000000000001a,0000000000000000001a,0000000000000000004z,,0000000000000000016e,1,1,1526
0000000000000000004m,0000000000000000000e,0000000000000000000e,00000000000000000016,,000000000000000001t3,0,0,2343
00000000000000000061,000000000000000000my,000000000000000000my,0000000000000000002b,,0000000000000000007q,1,1,278
0000000000000000006r,000000000000000000p1,000000000000000000p1,0000000000000000003w,,000000000000000001o6,0,0,2166
00000000000000000017,000000000000000000ox,000000000000000000ox,0000000000000000003o,,000000000000000003j3,1,1,4575
00000000000000000031,0000000000000000007l,0000000000000000007l,000000000000000000b9,,000000000000000003fa,0,0,4438
0000000000000000000r,000000000000000000oc,000000000000000000oc,000000000000000000c8,,000000000000000001a4,1,1,1660
0000000000000000002i,000000000000000000rw,000000000000000000rw,0000000000000000009h,,000000000000000003et,0,0,4421
0000000000000000006d,0000000000000000008w,0000000000000000008w,000000000000000000cw,,000000000000000000i9,1,1,657
00000000000000000003,000000000000000000nk,000000000000000000nk,000000000000000000em,,000000000000000000kx,0,0,753
00000000000000000026,000000000000000000so,000000000000000000so,000000000000000000fj,,000000000000000003e7,1,1,4399
0000000000000000000a,000000000000000000ni,000000000000000000ni,000000000000000000bc,,000000000000000001pd,0,0,2209
00000000000000000078,00000000000000000032,00000000000000000032,000000000000000000ee,,0000000000000000006o,1,1,240
0000000000000000005e,0000000000000000006r,0000000000000000006r,0000000000000000009r,,0000000000000000037d,0,0,4153
0000000000000000002t,000000000000000000mn,000000000000000000mn,00000000000000000019,,000000000000000001t9,1,1,2349
0000000000000000003x,00000000000000000097,00000000000000000097,0000000000000000004h,,000000000000000000vy,0,0,1150
00000000000000000034,000000000000000000nz,000000000000000000nz,00000000000000000046,,0000000000000000009q,1,1,350
00000000000000000011,000000000000000000oi,000000000000000000oi,000000000000000000dw,,000000000000000000ho,0,0,636
0000000000000000001z,00000000000000000042,00000000000000000042,000000000000000000e2,,000000000000000001tt,1,1,2369
00000000000000000063,000000000000000000ei,000000000000000000ei,00000000000000000013,,000000000000000000k1,0,0,721
00000000000000000027,000000000000000000ll,000000000000000000ll,00000000000000000005,,000000000000000001xr,1,1,2511
00000000000000000010,000000000000000000fi,000000000000000000fi,0000000000000000003m,,000000000000000003m0,0,0,4680
0000000000000000003c,000000000000000000sw,000000000000000000sw,0000000000000000009t,,00000000000000000122,1,1,1370
0000000000000000002l,0000000000000000004s,0000000000000000004s,0000000000000000002p,,000000000000000000li,0,0,774
0000000000000000005n,0000000000000000003x,0000000000000000003x,000000000000000000e0,,000000000000000001uz,1,1,2411
0000000000000000006h,000000000000000000da,000000000000000000da,00000000000000000085,,000000000000000001nr,0,0,2151
00000000000000000004,000000000000000000oa,000000000000000000oa,000000000000000000ff,,000000000000000001uj,1,1,2395
0000000000000000002w,0000000000000000007e,0000000000000000007e,0000000000000000008g,,000000000000000000xj,0,0,1207
0000000000000000003u,000000000000000000nb,000000000000000000nb,000000000000000000ch,,000000000000000000wc,1,1,1164
00000000000000000058,000000000000000000df,000000000000000000df,000000000000000000fz,,00000000000000000319,0,0,3933
00000000000000000053,00000000000000000043,00000000000000000043,0000000000000000006j,,000000000000000001ge,1,1,1886
0000000000000000003p,0000000000000000008f,0000000000000000008f,0000000000000000001k,,000000000000000000x9,0,0,1197
0000000000000000002z,0000000000000000005l,0000000000000000005l,000000000000000000cf,,000000000000000000fy,1,1,574
0000000000000000001c,000000000000000000ev,000000000000000000ev,000000000000000000ej,,000000000000000002yt,0,0,3845
0000000000000000006n,000000000000000000sp,000000000000000000sp,000000000000000000dd,,000000000000000001j3,1,1,1983
0000000000000000004g,000000000000000000p5,000000000000000000p5,000000000000000000b2,,000000000000000001af,0,0,1671
0000000000000000003g,000000000000000000k7,000000000000000000k7,00000000000000000076,,0000000000000000022k,1,1,2684
0000000000000000005h,0000000000000000002f,0000000000000000002f,0000000000000000004i,,0000000000000000019l,0,0,1641
00000000000000000025,000000000000000000n1,000000000000000000n1,0000000000000000004w,,000000000000000000wy,1,1,1186
0000000000000000006q,0000000000000000002l,0000000000000000002l,000000000000000000f0,,000000000000000002t8,0,0,3644
0000000000000000006m,000000000000000000m0,000000000000000000m0,000000000000000000aq,,000000000000000001rz,1,1,2303
0000000000000000003q,000000000000000000fj,000000000000000000fj,000000000000000000a5,,000000000000000000vk,0,0,1136
0000000000000000004y,000000000000000000r9,000000000000000000r9,000000000000000000bd,,0000000000000000019v,1,1,1651
00000000000000000075,000000000000000000qc,000000000000000000qc,000000000000000000f4,,000000000000000002eh,0,0,3113
00000000000000000054,000000000000000000bc,000000000000000000bc,0000000000000000000i,,000000000000000002qd,1,1,3541
0000000000000000003v,000000000000000000gj,000000000000000000gj,000000000000000000d0,,000000000000000000s1,0,0,1009
0000000000000000003j,00000000000000000069,00000000000000000069,0000000000000000001o,,000000000000000001w7,1,1,2455
0000000000000000002f,000000000000000000ik,000000000000000000ik,000000000000000000fb,,0000000000000000024e,0,0,2750
0000000000000000006s,000000000000000000ao,000000000000000000ao,0000000000000000005k,,000000000000000001ne,1,1,2138
00000000000000000073,000000000000000000a9,000000000000000000a9,0000000000000000004b,,000000000000000002fh,0,0,3149
0000000000000000001h,000000000000000000fk,000000000000000000fk,000000000000000000dl,,00000000000000000338,1,1,4004
00000000000000000065,000000000000000000pd,000000000000000000pd,00000000000000000002,,000000000000000001rg,0,0,2284
0000000000000000001s,0000000000000000003o,0000000000000000003o,0000000000000000001g,,000000000000000003ll,1,1,4665
0000000000000000003a,000000000000000000tl,000000000000000000tl,0000000000000000009j,,0000000000000000026x,0,0,2841
00000000000000000015,000000000000000000r6,000000000000000000r6,0000000000000000008v,,0000000000000000020d,1,1,2605
0000000000000000001l,0000000000000000004e,0000000000000000004e,00000000000000000066,,000000000000000002rq,0,0,3590
0000000000000000005a,0000000000000000001w,0000000000000000001w,0000000000000000001x,,000000000000000001a7,1,1,1663
0000000000000000000z,000000000000000000oe,000000000000000000oe,0000000000000000006e,,000000000000000002ly,0,0,3382
0000000000000000000x,000000000000000000na,000000000000000000na,0000000000000000002m,,000000000000000003ha,1,1,4510
00000000000000000032,000000000000000000h2,000000000000000000h2,000000000000000000bu,,0000000000000000011v,0,0,1363
00000000000000000038,0000000000000000001s,0000000000000000001s,000000000000000000bf,,000000000000000000a1,1,1,361
0000000000000000002u,000000000000000000rh,000000000000000000rh,000000000000000000a1,,000000000000000000zp,0,0,1285
0000000000000000003h,0000000000000000008d,0000000000000000008d,0000000000000000008h,,0000000000000000014h,1,1,1457
00000000000000000067,0000000000000000000m,0000000000000000000m,0000000000000000009k,,000000000000000001up,0,0,2401
0000000000000000003i,000000000000000000o2,000000000000000000o2,000000000000000000d6,,0000000000000000017d,1,1,1561
0000000000000000006x,000000000000000000tf,000000000000000000tf,00000000000000000060,,000000000000000001kk,0,0,2036
00000000000000000024,000000000000000000bx,000000000000000000bx,000000000000000000fv,,00000000000000000014,1,1,40
0000000000000000005q,0000000000000000004j,0000000000000000004j,000000000000000000fi,,000000000000000001tk,0,0,2360
0000000000000000000e,000000000000000000hl,000000000000000000hl,000000000000000000am,,000000000000000003kt,1,1,4637
0000000000000000005z,00000000000000000065,00000000000000000065,00000000000000000042,,000000000000000002ma,0,0,3394
00000000000000000018,000000000000000000hu,000000000000000000hu,0000000000000000005t,,0000000000000000002y,1,1,106
0000000000000000003r,0000000000000000005s,0000000000000000005s,000000000000000000at,,000000000000000001do,0,0,1788
0000000000000000003s,0000000000000000007a,0000000000000000007a,0000000000000000000o,,000000000000000000lo,1,1,780
00000000000000000039,000000000000000000q4,000000000000000000q4,00000000000000000028,,000000000000000002j7,0,0,3283
0000000000000000000f,000000000000000000ju,000000000000000000ju,0000000000000000001q,,000000000000000002r0,1,1,3564
0000000000000000001e,0000000000000000007i,0000000000000000007i,000000000000000000f3,,0000000000000000003l,0,0,129
0000000000000000000d,000000000000000000oj,000000000000000000oj,0000000000000000009f,,000000000000000001lf,1,1,2067
0000000000000000004o,000000000000000000bm,000000000000000000bm,0000000000000000003d,,000000000000000001fx,0,0,1869
00000000000000000055,0000000000000000002z,0000000000000000002z,0000000000000000003b,,0000000000000000005e,1,1,194
00000000000000000045,00000000000000000051,00000000000000000051,0000000000000000001v,,0000000000000000013z,0,0,1439
0000000000000000002e,000000000000000000io,000000000000000000io,0000000000000000002h,,000000000000000002te,1,1,3650
00000000000000000062,000000000000000000fx,000000000000000000fx,00000000000000000088,,000000000000000002k1,0,0,3313
0000000000000000001i,000000000000000000r8,000000000000000000r8,0000000000000000008q,,000000000000000003gp,1,1,4489
00000000000000000050,000000000000000000hh,000000000000000000hh,0000000000000000002k,,000000000000000003lp,0,0,4669
00000000000000000006,000000000000000000l3,000000000000000000l3,000000000000000000ae,,0000000000000000013h,1,1,1421
0000000000000000004c,0000000000000000006f,0000000000000000006f,000000000000000000fy,,000000000000000002x3,0,0,3783
0000000000000000000k,000000000000000000is,000000000000000000is,000000000000000000fs,,000000000000000002cj,1,1,3043
0000000000000000004j,000000000000000000gg,000000000000000000gg,000000000000000000f8,,000000000000000000va,0,0,1126
0000000000000000005m,000000000000000000g4,000000000000000000g4,0000000000000000003e,,000000000000000003ai,1,1,4266
0000000000000000005r,000000000000000000h8,000000000000000000h8,00000000000000000041,,00000000000000000167,0,0,1519
00000000000000000068,000000000000000000av,000000000000000000av,00000000000000000043,,0000000000000000031j,1,1,3943
00000000000000000022,0000000000000000003b,0000000000000000003b,000000000000000000dm,,000000000000000001ws,0,0,2476
0000000000000000000n,00000000000000000019,00000000000000000019,00000000000000000080,,0000000000000000029d,1,1,2929
0000000000000000003y,000000000000000000a8,000000000000000000a8,000000000000000000bt,,0000000000000000022s,0,0,2692
0000000000000000003t,00000000000000000034,00000000000000000034,0000000000000000004t,,000000000000000003bg,1,1,4300
0000000000000000004e,000000000000000000hj,000000000000000000hj,000000000000000000cu,,000000000000000002px,0,0,3525
00000000000000000020,000000000000000000cq,000000000000000000cq,000000000000000000er,,000000000000000001hz,1,1,1943
0000000000000000006o,0000000000000000005x,0000000000000000005x,0000000000000000000w,,000000000000000003io,0,0,4560
00000000000000000056,000000000000000000pz,000000000000000000pz,000000000000000000cb,,000000000000000001qq,1,1,2258
00000000000000000008,000000000000000000og,000000000000000000og,000000000000000000bn,,000000000000000002ez,0,0,3131
0000000000000000005s,000000000000000000oh,000000000000000000oh,0000000000000000001n,,000000000000000003jv,1,1,4603
0000000000000000005l,0000000000000000006s,0000000000000000006s,000000000000000000el,,0000000000000000012k,0,0,1388
00000000000000000051,000000000000000000em,000000000000000000em,000000000000000000et,,000000000000000001f0,1,1,1836
00000000000000000035,000000000000000000s5,000000000000000000s5,0000000000000000002n,,000000000000000001lp,0,0,2077
0000000000000000005v,0000000000000000007v,0000000000000000007v,000000000000000000ck,,000000000000000001wb,1,1,2459
0000000000000000005y,0000000000000000006y,0000000000000000006y,000000000000000000dr,,000000000000000002xe,0,0,3794
0000000000000000001d,000000000000000000eb,000000000000000000eb,000000000000000000ei,,000000000000000002uk,1,1,3692
0000000000000000002o,000000000000000000a4,000000000000000000a4,000000000000000000cn,,0000000000000000027k,0,0,2864
0000000000000000006w,000000000000000000nr,000000000000000000nr,000000000000000000cr,,0000000000000000020k,1,1,2612
0000000000000000004a,000000000000000000be,000000000000000000be,000000000000000000eh,,00000000000000000337,0,0,4003
0000000000000000004x,000000000000000000ex,000000000000000000ex,000000000000000000bx,,000000000000000003mj,1,1,4699
0000000000000000005p,000000000000000000m2,000000000000000000m2,0000000000000000001j,,000000000000000000nd,0,0,841
0000000000000000004v,00000000000000000090,00000000000000000090,000000000000000000bp,,00000000000000000293,1,1,2919
0000000000000000006v,000000000000000000d5,000000000000000000d5,0000000000000000001m,,000000000000000001me,0,0,2102
0000000000000000004l,000000000000000000m1,000000000000000000m1,000000000000000000dv,,0000000000000000031a,1,1,3934
00000000000000000072,000000000000000000cl,000000000000000000cl,0000000000000000008u,,000000000000000001i1,0,0,1945
0000000000000000004u,000000000000000000jc,000000000000000000jc,0000000000000000005g,,000000000000000003ly,1,1,4678
00000000000000000049,000000000000000000ss,000000000000000000ss,0000000000000000001f,,0000000000000000023t,0,0,2729
0000000000000000003z,000000000000000000s7,000000000000000000s7,0000000000000000008t,,000000000000000000oz,1,1,899
0000000000000000002y,000000000000000000ko,000000000000000000ko,0000000000000000004q,,000000000000000002bi,0,0,3006
0000000000000000000h,0000000000000000007p,0000000000000000007p,000000000000000000ao,,0000000000000000012l,1,1,1389
0000000000000000003k,00000000000000000058,00000000000000000058,0000000000000000007j,,000000000000000001gn,0,0,1895
00000000000000000059,0000000000000000009f,0000000000000000009f,000000000000000000fr,,000000000000000001c0,1,1,1728
0000000000000000006k,000000000000000000b2,000000000000000000b2,0000000000000000006u,,000000000000000001ga,0,0,1882
0000000000000000002a,0000000000000000001i,0000000000000000001i,0000000000000000009i,,000000000000000000qp,1,1,961
00000000000000000036,000000000000000000t9,000000000000000000t9,0000000000000000003n,,0000000000000000028n,0,0,2903
0000000000000000000l,000000000000000000hw,000000000000000000hw,000000000000000000aj,,000000000000000000w6,1,1,1158
0000000000000000001y,0000000000000000005g,0000000000000000005g,0000000000000000001r,,000000000000000001y0,0,0,2520
0000000000000000001u,000000000000000000b8,000000000000000000b8,0000000000000000005u,,000000000000000002cn,1,1,3047
00000000000000000064,0000000000000000007g,0000000000000000007g,000000000000000000bj,,000000000000000001lg,0,0,2068
0000000000000000006g,00000000000000000038,00000000000000000038,00000000000000000012,,000000000000000001hk,1,1,1928
0000000000000000005o,000000000000000000hn,000000000000000000hn,000000000000000000cv,,000000000000000002u3,0,0,3675
00000000000000000077,0000000000000000003g,0000000000000000003g,0000000000000000005i,,000000000000000002vl,1,1,3729
00000000000000000023,000000000000000000tc,000000000000000000tc,0000000000000000002v,,0000000000000000017m,0,0,1570
0000000000000000006y,000000000000000000m5,000000000000000000m5,00000000000000000007,,000000000000000001zb,1,1,2567
00000000000000000071,000000000000000000g2,000000000000000000g2,00000000000000000052,,0000000000000000011g,0,0,1348
0000000000000000001t,000000000000000000gz,000000000000000000gz,0000000000000000008e,,000000000000000003dm,1,1,4378
00000000000000000070,00000000000000000009,00000000000000000009,0000000000000000009a,,0000000000000000008a,0,0,298
00000000000000000048,000000000000000000er,000000000000000000er,0000000000000000000m,,0000000000000000003m,1,1,130
0000000000000000000s,000000000000000000a3,000000000000000000a3,000000000000000000fw,,000000000000000001pj,0,0,2215
0000000000000000005j,000000000000000000bv,000000000000000000bv,00000000000000000069,,000000000000000000gi,1,1,594
0000000000000000003l,000000000000000000f4,000000000000000000f4,00000000000000000095,,000000000000000002lk,0,0,3368
00000000000000000029,0000000000000000008c,0000000000000000008c,000000000000000000de,,0000000000000000020j,1,1,2611
0000000000000000002g,000000000000000000gp,000000000000000000gp,000000000000000000bs,,0000000000000000031k,0,0,3944
0000000000000000005d,000000000000000000h6,000000000000000000h6,0000000000000000001w,,000000000000000001yf,1,1,2535
00000000000000000009,000000000000000000m3,000000000000000000m3,000000000000000000fn,,0000000000000000017s,0,0,1576
0000000000000000006i,000000000000000000hp,000000000000000000hp,000000000000000000e8,,00000000000000000295,1,1,2921
0000000000000000000u,000000000000000000e8,000000000000000000e8,0000000000000000005f,,000000000000000001po,0,0,2220
0000000000000000002s,00000000000000000057,00000000000000000057,0000000000000000000p,,000000000000000000op,1,1,889
00000000000000000001,000000000000000000si,000000000000000000si,000000000000000000dh,,000000000000000001v4,0,0,2416
0000000000000000000q,000000000000000000do,000000000000000000do,000000000000000000dy,,000000000000000001vy,1,1,2446
00000000000000000033,000000000000000000o7,000000000000000000o7,00000000000000000094,50,00000000000000000394,0,0,4216
00000000000000000037,000000000000000000ga,000000000000000000ga,000000000000000000co,41,000000000000000001of,1,1,2175
0000000000000000001b,0000000000000000004w,0000000000000000004w,000000000000000000e7,42,000000000000000003e9,0,0,4401
0000000000000000005x,000000000000000000ah,000000000000000000ah,0000000000000000004p,25,000000000000000000jr,1,1,711
0000000000000000004s,000000000000000000b7,000000000000000000b7,0000000000000000009y,52,000000000000000001hd,0,0,1921
0000000000000000006l,000000000000000000fr,000000000000000000fr,0000000000000000006b,55,000000000000000002im,1,1,3262
00000000000000000030,00000000000000000062,00000000000000000062,0000000000000000002c,21,000000000000000001sl,0,0,2325
