agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url
0000000000000000000w,0000000000000000000w,0000000000000000000w,0000000000000000000w,0000000000000000000w,0000000000000000000w,0000000000000000000w
0000000000000000000m,0000000000000000000m,0000000000000000000m,0000000000000000000m,0000000000000000000m,0000000000000000000m,0000000000000000000m
0000000000000000000n,0000000000000000000n,0000000000000000000n,0000000000000000000n,0000000000000000000n,0000000000000000000n,0000000000000000000n
0000000000000000000g,0000000000000000000g,0000000000000000000g,0000000000000000000g,0000000000000000000g,0000000000000000000g,0000000000000000000g
0000000000000000000b,0000000000000000000b,0000000000000000000b,0000000000000000000b,0000000000000000000b,0000000000000000000b,0000000000000000000b
0000000000000000000y,0000000000000000000y,0000000000000000000y,0000000000000000000y,0000000000000000000y,0000000000000000000y,0000000000000000000y
00000000000000000010,00000000000000000010,00000000000000000010,00000000000000000010,00000000000000000010,00000000000000000010,00000000000000000010
0000000000000000001e,0000000000000000001e,0000000000000000001e,0000000000000000001e,0000000000000000001e,0000000000000000001e,0000000000000000001e
0000000000000000001b,0000000000000000001b,0000000000000000001b,0000000000000000001b,0000000000000000001b,0000000000000000001b,0000000000000000001b
0000000000000000000q,0000000000000000000q,0000000000000000000q,0000000000000000000q,0000000000000000000q,0000000000000000000q,0000000000000000000q
0000000000000000000u,0000000000000000000u,0000000000000000000u,0000000000000000000u,0000000000000000000u,0000000000000000000u,0000000000000000000u
00000000000000000008,00000000000000000008,00000000000000000008,00000000000000000008,00000000000000000008,00000000000000000008,00000000000000000008
0000000000000000000h,0000000000000000000h,0000000000000000000h,0000000000000000000h,0000000000000000000h,0000000000000000000h,0000000000000000000h
0000000000000000000i,0000000000000000000i,0000000000000000000i,0000000000000000000i,0000000000000000000i,0000000000000000000i,0000000000000000000i
0000000000000000000p,0000000000000000000p,0000000000000000000p,0000000000000000000p,0000000000000000000p,0000000000000000000p,0000000000000000000p
0000000000000000000d,0000000000000000000d,0000000000000000000d,0000000000000000000d,0000000000000000000d,0000000000000000000d,0000000000000000000d
0000000000000000000v,0000000000000000000v,0000000000000000000v,0000000000000000000v,0000000000000000000v,0000000000000000000v,0000000000000000000v
0000000000000000000f,0000000000000000000f,0000000000000000000f,0000000000000000000f,0000000000000000000f,0000000000000000000f,0000000000000000000f
00000000000000000004,00000000000000000004,00000000000000000004,00000000000000000004,00000000000000000004,00000000000000000004,00000000000000000004
0000000000000000000s,0000000000000000000s,0000000000000000000s,0000000000000000000s,0000000000000000000s,0000000000000000000s,0000000000000000000s
00000000000000000009,00000000000000000009,00000000000000000009,00000000000000000009,00000000000000000009,00000000000000000009,00000000000000000009
00000000000000000011,00000000000000000011,00000000000000000011,00000000000000000011,00000000000000000011,00000000000000000011,00000000000000000011
00000000000000000002,00000000000000000002,00000000000000000002,00000000000000000002,00000000000000000002,00000000000000000002,00000000000000000002
0000000000000000000e,0000000000000000000e,0000000000000000000e,0000000000000000000e,0000000000000000000e,0000000000000000000e,0000000000000000000e
0000000000000000001c,0000000000000000001c,0000000000000000001c,0000000000000000001c,0000000000000000001c,0000000000000000001c,0000000000000000001c
0000000000000000000x,0000000000000000000x,0000000000000000000x,0000000000000000000x,0000000000000000000x,0000000000000000000x,0000000000000000000x
0000000000000000000t,0000000000000000000t,0000000000000000000t,0000000000000000000t,0000000000000000000t,0000000000000000000t,0000000000000000000t
00000000000000000001,00000000000000000001,00000000000000000001,00000000000000000001,00000000000000000001,00000000000000000001,00000000000000000001
00000000000000000007,00000000000000000007,00000000000000000007,00000000000000000007,00000000000000000007,00000000000000000007,00000000000000000007
