route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
0000000000000000004r,0000000000000000001b,0000000000000000004r,0000000000000000004r,0000000000000000004r,47,0000000000000000004r,0000000000000000004r,00000000000000000027
000000000000000000be,0000000000000000000q,000000000000000000be,000000000000000000be,000000000000000000be,26,000000000000000000be,000000000000000000be,00000000000000000010
000000000000000000fu,0000000000000000000u,000000000000000000fu,000000000000000000fu,000000000000000000fu,30,000000000000000000fu,000000000000000000fu,0000000000000000003c
000000000000000000ew,00000000000000000008,000000000000000000ew,000000000000000000ew,000000000000000000ew,8,000000000000000000ew,000000000000000000ew,0000000000000000002l
0000000000000000002x,0000000000000000000h,0000000000000000002x,0000000000000000002x,0000000000000000002x,17,0000000000000000002x,0000000000000000002x,00000000000000000004
0000000000000000009q,0000000000000000000i,0000000000000000009q,0000000000000000009q,0000000000000000009q,18,0000000000000000009q,0000000000000000009q,0000000000000000002w
0000000000000000000j,0000000000000000000p,0000000000000000000j,0000000000000000000j,0000000000000000000j,25,0000000000000000000j,0000000000000000000j,0000000000000000003u
000000000000000000dq,0000000000000000000d,000000000000000000dq,000000000000000000dq,000000000000000000dq,13,000000000000000000dq,000000000000000000dq,0000000000000000003p
0000000000000000002r,0000000000000000000v,0000000000000000002r,0000000000000000002r,0000000000000000002r,31,0000000000000000002r,0000000000000000002r,0000000000000000002z
000000000000000000fg,0000000000000000000f,000000000000000000fg,000000000000000000fg,000000000000000000fg,15,000000000000000000fg,000000000000000000fg,0000000000000000001c
00000000000000000096,00000000000000000004,00000000000000000096,00000000000000000096,00000000000000000096,4,00000000000000000096,00000000000000000096,0000000000000000003g
000000000000000000e4,0000000000000000000s,000000000000000000e4,000000000000000000e4,000000000000000000e4,28,000000000000000000e4,000000000000000000e4,00000000000000000025
0000000000000000002j,00000000000000000009,0000000000000000002j,0000000000000000002j,0000000000000000002j,9,0000000000000000002j,0000000000000000002j,0000000000000000003q
0000000000000000009o,00000000000000000011,0000000000000000009o,0000000000000000009o,0000000000000000009o,37,0000000000000000009o,0000000000000000009o,0000000000000000003v
00000000000000000047,00000000000000000002,00000000000000000047,00000000000000000047,00000000000000000047,2,00000000000000000047,00000000000000000047,0000000000000000003j
0000000000000000004n,0000000000000000000e,0000000000000000004n,0000000000000000004n,0000000000000000004n,14,0000000000000000004n,0000000000000000004n,0000000000000000002f
0000000000000000008i,0000000000000000001c,0000000000000000008i,0000000000000000008i,0000000000000000008i,48,0000000000000000008i,0000000000000000008i,0000000000000000001h
0000000000000000000b,0000000000000000000x,0000000000000000000b,0000000000000000000b,0000000000000000000b,33,0000000000000000000b,0000000000000000000b,0000000000000000001s
0000000000000000007y,0000000000000000000t,0000000000000000007y,0000000000000000007y,0000000000000000007y,29,0000000000000000007y,0000000000000000007y,0000000000000000003a
000000000000000000ad,00000000000000000001,000000000000000000ad,000000000000000000ad,000000000000000000ad,1,000000000000000000ad,000000000000000000ad,00000000000000000015
000000000000000000h5,00000000000000000007,000000000000000000h5,000000000000000000h5,000000000000000000h5,7,000000000000000000h5,000000000000000000h5,0000000000000000001l
000000000000000000af,0000000000000000001d,000000000000000000af,000000000000000000af,000000000000000000af,49,000000000000000000af,000000000000000000af,0000000000000000000z
0000000000000000006p,00000000000000000014,0000000000000000006p,0000000000000000006p,0000000000000000006p,40,0000000000000000006p,0000000000000000006p,0000000000000000000x
0000000000000000005w,00000000000000000015,0000000000000000005w,0000000000000000005w,0000000000000000005w,41,0000000000000000005w,0000000000000000005w,00000000000000000032
000000000000000000cz,0000000000000000000o,000000000000000000cz,000000000000000000cz,000000000000000000cz,24,000000000000000000cz,000000000000000000cz,00000000000000000038
0000000000000000000y,0000000000000000000k,0000000000000000000y,0000000000000000000y,0000000000000000000y,20,0000000000000000000y,0000000000000000000y,0000000000000000002u
00000000000000000074,00000000000000000013,00000000000000000074,00000000000000000074,00000000000000000074,39,00000000000000000074,00000000000000000074,0000000000000000003h
000000000000000000gq,00000000000000000019,000000000000000000gq,000000000000000000gq,000000000000000000gq,45,000000000000000000gq,000000000000000000gq,0000000000000000003i
000000000000000000ed,0000000000000000000c,000000000000000000ed,000000000000000000ed,000000000000000000ed,12,000000000000000000ed,000000000000000000ed,00000000000000000024
00000000000000000091,0000000000000000000r,00000000000000000091,00000000000000000091,00000000000000000091,27,00000000000000000091,00000000000000000091,0000000000000000000e
000000000000000000ai,0000000000000000000a,000000000000000000ai,000000000000000000ai,000000000000000000ai,10,000000000000000000ai,000000000000000000ai,00000000000000000018
0000000000000000006z,00000000000000000006,0000000000000000006z,0000000000000000006z,0000000000000000006z,6,0000000000000000006z,0000000000000000006z,0000000000000000003r
000000000000000000d4,00000000000000000016,000000000000000000d4,000000000000000000d4,000000000000000000d4,42,000000000000000000d4,000000000000000000d4,0000000000000000003s
0000000000000000004k,00000000000000000012,0000000000000000004k,0000000000000000004k,0000000000000000004k,38,0000000000000000004k,0000000000000000004k,00000000000000000039
0000000000000000006c,00000000000000000018,0000000000000000006c,0000000000000000006c,0000000000000000006c,44,0000000000000000006c,0000000000000000006c,0000000000000000000f
000000000000000000gd,00000000000000000005,000000000000000000gd,000000000000000000gd,000000000000000000gd,5,000000000000000000gd,000000000000000000gd,0000000000000000001e
0000000000000000004z,0000000000000000000z,0000000000000000004z,0000000000000000004z,0000000000000000004z,35,0000000000000000004z,0000000000000000004z,0000000000000000000d
000000000000000000h6,00000000000000000017,000000000000000000h6,000000000000000000h6,000000000000000000h6,43,000000000000000000h6,000000000000000000h6,00000000000000000045
00000000000000000016,00000000000000000003,00000000000000000016,00000000000000000016,00000000000000000016,3,00000000000000000016,00000000000000000016,0000000000000000002e
0000000000000000002b,0000000000000000000l,0000000000000000002b,0000000000000000002b,0000000000000000002b,21,0000000000000000002b,0000000000000000002b,0000000000000000001i
0000000000000000003w,0000000000000000001a,0000000000000000003w,0000000000000000003w,0000000000000000003w,46,0000000000000000003w,0000000000000000003w,00000000000000000006
000000000000000000h1,0000000000000000000j,000000000000000000h1,000000000000000000h1,000000000000000000h1,19,000000000000000000h1,000000000000000000h1,0000000000000000000k
000000000000000000hx,0000000000000000000w,000000000000000000hx,000000000000000000hx,000000000000000000hx,32,000000000000000000hx,000000000000000000hx,00000000000000000022
000000000000000000he,0000000000000000000m,000000000000000000he,000000000000000000he,000000000000000000he,22,000000000000000000he,000000000000000000he,0000000000000000000n
0000000000000000003o,0000000000000000000n,0000000000000000003o,0000000000000000003o,0000000000000000003o,23,0000000000000000003o,0000000000000000003o,0000000000000000003y
000000000000000000b9,0000000000000000000g,000000000000000000b9,000000000000000000b9,000000000000000000b9,16,000000000000000000b9,000000000000000000b9,0000000000000000003t
000000000000000000c8,0000000000000000000b,000000000000000000c8,000000000000000000c8,000000000000000000c8,11,000000000000000000c8,000000000000000000c8,00000000000000000020
0000000000000000009h,0000000000000000000y,0000000000000000009h,0000000000000000009h,0000000000000000009h,34,0000000000000000009h,0000000000000000009h,00000000000000000008
000000000000000000cw,00000000000000000010,000000000000000000cw,000000000000000000cw,000000000000000000cw,36,000000000000000000cw,000000000000000000cw,00000000000000000035
000000000000000000em,0000000000000000001e,000000000000000000em,000000000000000000em,000000000000000000em,50,000000000000000000em,000000000000000000em,0000000000000000001d
000000000000000000fj,0000000000000000001b,000000000000000000fj,000000000000000000fj,000000000000000000fj,47,000000000000000000fj,000000000000000000fj,0000000000000000002o
000000000000000000bc,0000000000000000000q,000000000000000000bc,000000000000000000bc,000000000000000000bc,26,000000000000000000bc,000000000000000000bc,0000000000000000003z
000000000000000000ee,0000000000000000000u,000000000000000000ee,000000000000000000ee,000000000000000000ee,30,000000000000000000ee,000000000000000000ee,0000000000000000002y
0000000000000000009r,00000000000000000008,0000000000000000009r,0000000000000000009r,0000000000000000009r,8,0000000000000000009r,0000000000000000009r,0000000000000000000h
00000000000000000019,0000000000000000000h,00000000000000000019,00000000000000000019,00000000000000000019,17,00000000000000000019,00000000000000000019,0000000000000000003k
0000000000000000004h,0000000000000000000i,0000000000000000004h,0000000000000000004h,0000000000000000004h,18,0000000000000000004h,0000000000000000004h,0000000000000000002a
00000000000000000046,0000000000000000000p,00000000000000000046,00000000000000000046,00000000000000000046,25,00000000000000000046,00000000000000000046,00000000000000000036
000000000000000000dw,0000000000000000000d,000000000000000000dw,000000000000000000dw,000000000000000000dw,13,000000000000000000dw,000000000000000000dw,0000000000000000000l
000000000000000000h7,0000000000000000000v,000000000000000000h7,000000000000000000h7,000000000000000000h7,31,000000000000000000h7,000000000000000000h7,0000000000000000001y
000000000000000000e2,0000000000000000000f,000000000000000000e2,000000000000000000e2,000000000000000000e2,15,000000000000000000e2,000000000000000000e2,0000000000000000001u
00000000000000000013,00000000000000000004,00000000000000000013,00000000000000000013,00000000000000000013,4,00000000000000000013,00000000000000000013,00000000000000000023
00000000000000000005,0000000000000000000s,00000000000000000005,00000000000000000005,00000000000000000005,28,00000000000000000005,00000000000000000005,0000000000000000001t
0000000000000000003m,00000000000000000009,0000000000000000003m,0000000000000000003m,0000000000000000003m,9,0000000000000000003m,0000000000000000003m,0000000000000000000s
0000000000000000009t,00000000000000000011,0000000000000000009t,0000000000000000009t,0000000000000000009t,37,0000000000000000009t,0000000000000000009t,0000000000000000003l
0000000000000000002p,00000000000000000002,0000000000000000002p,0000000000000000002p,0000000000000000002p,2,0000000000000000002p,0000000000000000002p,00000000000000000029
000000000000000000e0,0000000000000000000e,000000000000000000e0,000000000000000000e0,000000000000000000e0,14,000000000000000000e0,000000000000000000e0,0000000000000000002g
00000000000000000085,0000000000000000001c,00000000000000000085,00000000000000000085,00000000000000000085,48,00000000000000000085,00000000000000000085,00000000000000000009
000000000000000000ff,0000000000000000000x,000000000000000000ff,000000000000000000ff,000000000000000000ff,33,000000000000000000ff,000000000000000000ff,0000000000000000000u
0000000000000000008g,0000000000000000000t,0000000000000000008g,0000000000000000008g,0000000000000000008g,29,0000000000000000008g,0000000000000000008g,0000000000000000002s
000000000000000000ch,00000000000000000001,000000000000000000ch,000000000000000000ch,000000000000000000ch,1,000000000000000000ch,000000000000000000ch,00000000000000000001
000000000000000000fz,00000000000000000007,000000000000000000fz,000000000000000000fz,000000000000000000fz,7,000000000000000000fz,000000000000000000fz,0000000000000000000q
0000000000000000006j,0000000000000000001d,0000000000000000006j,0000000000000000006j,0000000000000000006j,49,0000000000000000006j,0000000000000000006j,00000000000000000033
0000000000000000001k,00000000000000000014,0000000000000000001k,0000000000000000001k,0000000000000000001k,40,0000000000000000001k,0000000000000000001k,00000000000000000037
000000000000000000cf,00000000000000000015,000000000000000000cf,000000000000000000cf,000000000000000000cf,41,000000000000000000cf,000000000000000000cf,0000000000000000001b
000000000000000000ej,0000000000000000000o,000000000000000000ej,000000000000000000ej,000000000000000000ej,24,000000000000000000ej,000000000000000000ej,00000000000000000030
000000000000000000dd,0000000000000000000k,000000000000000000dd,000000000000000000dd,000000000000000000dd,20,000000000000000000dd,000000000000000000dd,00000000000000000021
000000000000000000b2,00000000000000000013,000000000000000000b2,000000000000000000b2,000000000000000000b2,39,000000000000000000b2,000000000000000000b2,0000000000000000000c
00000000000000000076,00000000000000000019,00000000000000000076,00000000000000000076,00000000000000000076,45,00000000000000000076,00000000000000000076,00000000000000000014
0000000000000000004i,0000000000000000000c,0000000000000000004i,0000000000000000004i,0000000000000000004i,12,0000000000000000004i,0000000000000000004i,0000000000000000000v
0000000000000000004w,0000000000000000000r,0000000000000000004w,0000000000000000004w,0000000000000000004w,27,0000000000000000004w,0000000000000000004w,00000000000000000044
000000000000000000f0,0000000000000000000a,000000000000000000f0,000000000000000000f0,000000000000000000f0,10,000000000000000000f0,000000000000000000f0,0000000000000000001a
000000000000000000aq,00000000000000000006,000000000000000000aq,000000000000000000aq,000000000000000000aq,6,000000000000000000aq,000000000000000000aq,0000000000000000001p
000000000000000000h2,00000000000000000016,000000000000000000h2,000000000000000000h2,000000000000000000h2,42,000000000000000000h2,000000000000000000h2,00000000000000000040
000000000000000000a5,00000000000000000012,000000000000000000a5,000000000000000000a5,000000000000000000a5,38,000000000000000000a5,000000000000000000a5,0000000000000000000g
000000000000000000bd,00000000000000000018,000000000000000000bd,000000000000000000bd,000000000000000000bd,44,000000000000000000bd,000000000000000000bd,0000000000000000000t
000000000000000000f4,00000000000000000005,000000000000000000f4,000000000000000000f4,000000000000000000f4,5,000000000000000000f4,000000000000000000f4,0000000000000000002q
0000000000000000000i,0000000000000000000z,0000000000000000000i,0000000000000000000i,0000000000000000000i,35,0000000000000000000i,0000000000000000000i,0000000000000000002d
000000000000000000d0,00000000000000000017,000000000000000000d0,000000000000000000d0,000000000000000000d0,43,000000000000000000d0,000000000000000000d0,0000000000000000003f
0000000000000000001o,00000000000000000003,0000000000000000001o,0000000000000000001o,0000000000000000001o,3,0000000000000000001o,0000000000000000001o,0000000000000000002x
000000000000000000fb,0000000000000000000l,000000000000000000fb,000000000000000000fb,000000000000000000fb,21,000000000000000000fb,000000000000000000fb,0000000000000000000j
0000000000000000005k,0000000000000000001a,0000000000000000005k,0000000000000000005k,0000000000000000005k,46,0000000000000000005k,0000000000000000005k,0000000000000000002r
0000000000000000004b,0000000000000000000j,0000000000000000004b,0000000000000000004b,0000000000000000004b,19,0000000000000000004b,0000000000000000004b,0000000000000000002j
000000000000000000dl,0000000000000000000w,000000000000000000dl,000000000000000000dl,000000000000000000dl,32,000000000000000000dl,000000000000000000dl,0000000000000000000b
000000000000000000gu,0000000000000000000m,000000000000000000gu,000000000000000000gu,000000000000000000gu,22,000000000000000000gu,000000000000000000gu,0000000000000000000y
000000000000000000h9,0000000000000000000n,000000000000000000h9,000000000000000000h9,000000000000000000h9,23,000000000000000000h9,000000000000000000h9,00000000000000000016
00000000000000000002,0000000000000000000g,00000000000000000002,00000000000000000002,00000000000000000002,16,00000000000000000002,00000000000000000002,0000000000000000002b
0000000000000000001g,0000000000000000000b,0000000000000000001g,0000000000000000001g,0000000000000000001g,11,0000000000000000001g,0000000000000000001g,0000000000000000003w
0000000000000000009j,0000000000000000000y,0000000000000000009j,0000000000000000009j,0000000000000000009j,34,0000000000000000009j,0000000000000000009j,0000000000000000003o
0000000000000000008v,00000000000000000010,0000000000000000008v,0000000000000000008v,0000000000000000008v,36,0000000000000000008v,0000000000000000008v,00000000000000000019
00000000000000000066,0000000000000000001e,00000000000000000066,00000000000000000066,00000000000000000066,50,00000000000000000066,00000000000000000066,00000000000000000046
0000000000000000001x,0000000000000000001b,0000000000000000001x,0000000000000000001x,0000000000000000001x,47,0000000000000000001x,0000000000000000001x,00000000000000000013
0000000000000000006e,0000000000000000000q,0000000000000000006e,0000000000000000006e,0000000000000000006e,26,0000000000000000006e,0000000000000000006e,00000000000000000005
0000000000000000002m,0000000000000000000u,0000000000000000002m,0000000000000000002m,0000000000000000002m,30,0000000000000000002m,0000000000000000002m,0000000000000000003m
000000000000000000bu,00000000000000000008,000000000000000000bu,000000000000000000bu,000000000000000000bu,8,000000000000000000bu,000000000000000000bu,0000000000000000002p
000000000000000000bf,0000000000000000000h,000000000000000000bf,000000000000000000bf,000000000000000000bf,17,000000000000000000bf,000000000000000000bf,0000000000000000001k
000000000000000000gk,0000000000000000000i,000000000000000000gk,000000000000000000gk,000000000000000000gk,18,000000000000000000gk,000000000000000000gk,0000000000000000000i
000000000000000000a1,0000000000000000000p,000000000000000000a1,000000000000000000a1,000000000000000000a1,25,000000000000000000a1,000000000000000000a1,0000000000000000001o
0000000000000000008h,0000000000000000000d,0000000000000000008h,0000000000000000008h,0000000000000000008h,13,0000000000000000008h,0000000000000000008h,00000000000000000002
0000000000000000009k,0000000000000000000v,0000000000000000009k,0000000000000000009k,0000000000000000009k,31,0000000000000000009k,0000000000000000009k,0000000000000000001g
000000000000000000d6,0000000000000000000f,000000000000000000d6,000000000000000000d6,000000000000000000d6,15,000000000000000000d6,000000000000000000d6,0000000000000000001x
00000000000000000060,00000000000000000004,00000000000000000060,00000000000000000060,00000000000000000060,4,00000000000000000060,00000000000000000060,0000000000000000002m
000000000000000000fv,0000000000000000000s,000000000000000000fv,000000000000000000fv,000000000000000000fv,28,000000000000000000fv,000000000000000000fv,00000000000000000042
000000000000000000fi,00000000000000000009,000000000000000000fi,000000000000000000fi,000000000000000000fi,9,000000000000000000fi,000000000000000000fi,0000000000000000000o
