trip_id,start_time,end_time,headway_secs,exact_times
00000000000000000047,0000000000000000001j,0000000000000000001m,229,0
0000000000000000004n,0000000000000000001c,00000000000000000002,220,0
0000000000000000008i,0000000000000000000x,0000000000000000000e,221,0
0000000000000000000b,0000000000000000000t,0000000000000000001j,204,0
0000000000000000007y,00000000000000000001,0000000000000000001c,231,0
000000000000000000ad,00000000000000000007,0000000000000000000x,234,0
000000000000000000af,0000000000000000001d,0000000000000000000t,200,0
0000000000000000006p,00000000000000000014,00000000000000000001,219,0
0000000000000000005w,00000000000000000015,00000000000000000007,225,0
0000000000000000000y,0000000000000000000o,0000000000000000001d,192,0
00000000000000000074,0000000000000000001f,00000000000000000014,207,0
00000000000000000091,0000000000000000001i,00000000000000000015,190,0
000000000000000000ai,0000000000000000000k,0000000000000000000o,186,0
0000000000000000006z,00000000000000000013,0000000000000000001t,222,0
0000000000000000004k,00000000000000000019,0000000000000000001f,218,0
0000000000000000006c,0000000000000000000c,0000000000000000001i,224,0
0000000000000000004z,0000000000000000000r,0000000000000000000k,185,0
00000000000000000016,0000000000000000000a,00000000000000000013,215,0
0000000000000000002b,00000000000000000006,00000000000000000019,223,0
0000000000000000003w,00000000000000000016,0000000000000000000c,183,0
0000000000000000003o,00000000000000000012,0000000000000000000r,201,0
0000000000000000009h,00000000000000000018,0000000000000000000a,226,0
0000000000000000009r,00000000000000000005,00000000000000000006,199,0
00000000000000000019,0000000000000000000z,00000000000000000016,212,0
0000000000000000004h,00000000000000000017,00000000000000000012,202,0
00000000000000000046,00000000000000000003,0000000000000000001s,233,0
00000000000000000013,0000000000000000000l,00000000000000000018,232,0
00000000000000000005,0000000000000000001a,00000000000000000005,203,0
0000000000000000003m,0000000000000000000j,0000000000000000000z,196,0
0000000000000000009t,0000000000000000000w,00000000000000000017,191,0
0000000000000000002p,0000000000000000000m,00000000000000000003,214,0
00000000000000000085,0000000000000000001h,0000000000000000000l,216,0
0000000000000000008g,0000000000000000001g,0000000000000000001a,230,0
0000000000000000006j,0000000000000000001p,0000000000000000000j,227,0
0000000000000000001k,0000000000000000000n,0000000000000000000w,206,0
00000000000000000076,0000000000000000001o,0000000000000000000m,210,0
0000000000000000004i,0000000000000000000g,0000000000000000001h,188,0
0000000000000000004w,0000000000000000000b,0000000000000000001g,236,0
000000000000000000aq,0000000000000000000y,0000000000000000001p,197,0
000000000000000000a5,00000000000000000010,0000000000000000000n,198,0
0000000000000000000i,0000000000000000001e,0000000000000000001o,205,0
0000000000000000001o,0000000000000000001b,0000000000000000000g,193,0
0000000000000000005k,0000000000000000000q,0000000000000000000b,211,0
0000000000000000004b,0000000000000000001q,0000000000000000000y,195,0
00000000000000000002,0000000000000000000u,00000000000000000010,184,0
0000000000000000001g,00000000000000000008,0000000000000000001e,208,0
0000000000000000009j,0000000000000000001k,0000000000000000001b,189,0
0000000000000000008v,0000000000000000000h,0000000000000000000q,217,0
00000000000000000066,0000000000000000000i,0000000000000000001q,237,0
0000000000000000001x,0000000000000000000p,0000000000000000000u,182,0
0000000000000000006e,0000000000000000000d,00000000000000000008,194,0
0000000000000000002m,0000000000000000000v,0000000000000000001k,235,0
000000000000000000a1,0000000000000000000f,0000000000000000000h,228,0
0000000000000000008h,00000000000000000004,0000000000000000000i,213,0
0000000000000000009k,0000000000000000000s,0000000000000000000p,209,0
00000000000000000060,0000000000000000001n,0000000000000000000d,181,0
000000000000000000am,00000000000000000009,0000000000000000000v,187,0
00000000000000000042,0000000000000000001r,0000000000000000000f,229,0
0000000000000000005t,00000000000000000011,00000000000000000004,220,0
000000000000000000at,0000000000000000001l,0000000000000000000s,221,0
0000000000000000000o,0000000000000000001m,0000000000000000001n,204,0
00000000000000000028,00000000000000000002,00000000000000000009,231,0
0000000000000000001q,0000000000000000000e,0000000000000000001r,234,0
0000000000000000009f,0000000000000000001j,00000000000000000011,200,0
0000000000000000003d,0000000000000000001c,0000000000000000001l,219,0
0000000000000000003b,0000000000000000000x,0000000000000000001u,225,0
0000000000000000001v,0000000000000000000t,0000000000000000001m,192,0
0000000000000000002h,00000000000000000001,00000000000000000002,207,0
00000000000000000088,00000000000000000007,0000000000000000000e,190,0
0000000000000000008q,0000000000000000001d,0000000000000000001j,186,0
0000000000000000002k,00000000000000000014,0000000000000000001c,222,0
000000000000000000ae,00000000000000000015,0000000000000000000x,218,0
0000000000000000003e,0000000000000000000o,0000000000000000000t,224,0
00000000000000000041,0000000000000000001f,00000000000000000001,185,0
00000000000000000043,0000000000000000001i,00000000000000000007,215,0
00000000000000000080,0000000000000000000k,0000000000000000001d,223,0
0000000000000000004t,00000000000000000013,00000000000000000014,183,0
0000000000000000000w,00000000000000000019,00000000000000000015,201,0
0000000000000000001n,0000000000000000000c,0000000000000000000o,226,0
0000000000000000002n,0000000000000000000r,0000000000000000001t,199,0
0000000000000000001j,0000000000000000000a,0000000000000000001f,212,0
0000000000000000001m,00000000000000000006,0000000000000000001i,202,0
0000000000000000008u,00000000000000000016,0000000000000000000k,233,0
0000000000000000005g,00000000000000000012,00000000000000000013,232,0
0000000000000000001f,00000000000000000018,00000000000000000019,203,0
0000000000000000008t,00000000000000000005,0000000000000000000c,196,0
0000000000000000004q,0000000000000000000z,0000000000000000000r,191,0
000000000000000000ao,00000000000000000017,0000000000000000000a,214,0
0000000000000000007j,00000000000000000003,00000000000000000006,216,0
0000000000000000006u,0000000000000000000l,00000000000000000016,230,0
0000000000000000009i,0000000000000000001a,00000000000000000012,227,0
0000000000000000003n,0000000000000000000j,0000000000000000001s,206,0
000000000000000000aj,0000000000000000000w,00000000000000000018,210,0
0000000000000000001r,0000000000000000000m,00000000000000000005,188,0
0000000000000000005u,0000000000000000001h,0000000000000000000z,236,0
00000000000000000012,0000000000000000001g,00000000000000000017,197,0
0000000000000000005i,0000000000000000001p,00000000000000000003,198,0
0000000000000000002v,0000000000000000000n,0000000000000000000l,205,0
00000000000000000007,0000000000000000001o,0000000000000000001a,193,0
00000000000000000052,0000000000000000000g,0000000000000000000j,211,0
0000000000000000008e,0000000000000000000b,0000000000000000000w,195,0
0000000000000000009a,0000000000000000000y,0000000000000000000m,184,0
0000000000000000000m,00000000000000000010,0000000000000000001h,208,0
00000000000000000069,0000000000000000001e,0000000000000000001g,189,0
00000000000000000095,0000000000000000001b,0000000000000000001p,217,0
0000000000000000001w,0000000000000000000q,0000000000000000000n,237,0
0000000000000000005f,0000000000000000001q,0000000000000000001o,182,0
0000000000000000000p,0000000000000000000u,0000000000000000000g,194,0
00000000000000000094,00000000000000000008,0000000000000000000b,235,0
0000000000000000004p,0000000000000000001k,0000000000000000000y,228,0
0000000000000000009y,0000000000000000000h,00000000000000000010,213,0
0000000000000000006b,0000000000000000000i,0000000000000000001e,209,0
0000000000000000002c,0000000000000000000p,0000000000000000001b,181,0
0000000000000000004m,0000000000000000000d,0000000000000000000q,187,0
0000000000000000007s,0000000000000000000v,0000000000000000001q,229,0
00000000000000000061,0000000000000000000f,0000000000000000000u,220,0
000000000000000000ar,00000000000000000004,00000000000000000008,221,0
0000000000000000007t,0000000000000000000s,0000000000000000001k,204,0
0000000000000000006r,0000000000000000001n,0000000000000000000h,231,0
0000000000000000007c,00000000000000000009,0000000000000000000i,234,0
00000000000000000017,0000000000000000001r,0000000000000000000p,200,0
00000000000000000031,00000000000000000011,0000000000000000000d,219,0
0000000000000000000r,0000000000000000001l,0000000000000000000v,225,0
0000000000000000002i,0000000000000000001m,0000000000000000000f,192,0
0000000000000000008y,00000000000000000002,00000000000000000004,207,0
0000000000000000008c,0000000000000000000e,0000000000000000000s,190,0
0000000000000000006d,0000000000000000001j,0000000000000000001n,186,0
00000000000000000003,0000000000000000001c,00000000000000000009,222,0
00000000000000000026,0000000000000000000x,0000000000000000001r,218,0
0000000000000000000a,0000000000000000000t,00000000000000000011,224,0
00000000000000000078,00000000000000000001,0000000000000000001l,185,0
0000000000000000005e,00000000000000000007,0000000000000000001u,215,0
00000000000000000099,0000000000000000001d,0000000000000000001m,223,0
0000000000000000002t,00000000000000000014,00000000000000000002,183,0
0000000000000000009l,00000000000000000015,0000000000000000000e,201,0
0000000000000000003x,0000000000000000000o,0000000000000000001j,226,0
00000000000000000034,0000000000000000001f,0000000000000000001c,199,0
00000000000000000011,0000000000000000001i,0000000000000000000x,212,0
0000000000000000008b,0000000000000000000k,0000000000000000000t,202,0
00000000000000000090,00000000000000000013,00000000000000000001,233,0
0000000000000000009s,00000000000000000019,00000000000000000007,232,0
0000000000000000001z,0000000000000000000c,0000000000000000001d,203,0
00000000000000000063,0000000000000000000r,00000000000000000014,196,0
00000000000000000027,0000000000000000000a,00000000000000000015,191,0
00000000000000000010,00000000000000000006,0000000000000000000o,214,0
0000000000000000003c,00000000000000000016,0000000000000000001t,216,0
0000000000000000002l,00000000000000000012,0000000000000000001f,230,0
0000000000000000008m,00000000000000000018,0000000000000000001i,227,0
0000000000000000005n,00000000000000000005,0000000000000000000k,206,0
0000000000000000006h,0000000000000000000z,00000000000000000013,210,0
00000000000000000004,00000000000000000017,00000000000000000019,188,0
0000000000000000002w,00000000000000000003,0000000000000000000c,236,0
0000000000000000009b,0000000000000000000l,0000000000000000000r,197,0
0000000000000000003u,0000000000000000001a,0000000000000000000a,198,0
00000000000000000058,0000000000000000000j,00000000000000000006,205,0
00000000000000000053,0000000000000000000w,00000000000000000016,193,0
0000000000000000003p,0000000000000000000m,00000000000000000012,211,0
0000000000000000002z,0000000000000000001h,0000000000000000001s,195,0
00000000000000000084,0000000000000000001g,00000000000000000018,184,0
0000000000000000001c,0000000000000000001p,00000000000000000005,208,0
0000000000000000006n,0000000000000000000n,0000000000000000000z,189,0
0000000000000000004g,0000000000000000001o,00000000000000000017,217,0
0000000000000000003g,0000000000000000000g,00000000000000000003,237,0
0000000000000000005h,0000000000000000000b,0000000000000000000l,182,0
00000000000000000025,0000000000000000000y,0000000000000000001a,194,0
0000000000000000007v,00000000000000000010,0000000000000000000j,235,0
00000000000000000087,0000000000000000001e,0000000000000000000w,228,0
0000000000000000006q,0000000000000000001b,0000000000000000000m,213,0
0000000000000000006m,0000000000000000000q,0000000000000000001h,209,0
0000000000000000003q,0000000000000000001q,0000000000000000001g,181,0
0000000000000000004y,0000000000000000000u,0000000000000000001p,187,0
00000000000000000075,00000000000000000008,0000000000000000000n,229,0
00000000000000000054,0000000000000000001k,0000000000000000001o,220,0
0000000000000000007p,0000000000000000000h,0000000000000000000g,221,0
0000000000000000003v,0000000000000000000i,0000000000000000000b,204,0
0000000000000000003j,0000000000000000000p,0000000000000000000y,231,0
0000000000000000007n,0000000000000000000d,00000000000000000010,234,0
0000000000000000002f,0000000000000000000v,0000000000000000001e,200,0
0000000000000000006s,0000000000000000000f,0000000000000000001b,219,0
00000000000000000082,00000000000000000004,0000000000000000000q,225,0
00000000000000000086,0000000000000000000s,0000000000000000001q,192,0
00000000000000000073,0000000000000000001n,0000000000000000000u,207,0
0000000000000000009m,00000000000000000009,00000000000000000008,190,0
0000000000000000001h,0000000000000000001r,0000000000000000001k,186,0
000000000000000000a9,00000000000000000011,0000000000000000000h,222,0
00000000000000000065,0000000000000000001l,0000000000000000000i,218,0
0000000000000000001s,0000000000000000001m,0000000000000000000p,224,0
0000000000000000008r,00000000000000000002,0000000000000000000d,185,0
0000000000000000003a,0000000000000000000e,0000000000000000000v,215,0
00000000000000000015,0000000000000000001j,0000000000000000000f,223,0
0000000000000000001l,0000000000000000001c,00000000000000000004,183,0
0000000000000000005a,0000000000000000000x,0000000000000000000s,201,0
00000000000000000089,0000000000000000000t,0000000000000000001n,226,0
0000000000000000007l,00000000000000000001,00000000000000000009,199,0
0000000000000000000z,00000000000000000007,0000000000000000001r,212,0
0000000000000000000x,0000000000000000001d,00000000000000000011,202,0
00000000000000000032,00000000000000000014,0000000000000000001l,233,0
00000000000000000038,00000000000000000015,0000000000000000001u,232,0
0000000000000000002u,0000000000000000000o,0000000000000000001m,203,0
0000000000000000009g,0000000000000000001f,00000000000000000002,196,0
0000000000000000003h,0000000000000000001i,0000000000000000000e,191,0
00000000000000000067,0000000000000000000k,0000000000000000001j,214,0
0000000000000000007a,00000000000000000013,0000000000000000001c,216,0
0000000000000000003i,00000000000000000019,0000000000000000000x,230,0
0000000000000000006x,0000000000000000000c,0000000000000000000t,227,0
00000000000000000024,0000000000000000000r,00000000000000000001,206,0
0000000000000000005q,0000000000000000000a,00000000000000000007,210,0
0000000000000000008n,00000000000000000006,0000000000000000001d,188,0
0000000000000000000e,00000000000000000016,00000000000000000014,236,0
000000000000000000a4,00000000000000000012,00000000000000000015,197,0
000000000000000000an,00000000000000000018,0000000000000000000o,198,0
0000000000000000005z,00000000000000000005,0000000000000000001t,205,0
00000000000000000018,0000000000000000000z,0000000000000000001f,193,0
0000000000000000003r,00000000000000000017,0000000000000000001i,211,0
0000000000000000003s,00000000000000000003,0000000000000000000k,195,0
00000000000000000039,0000000000000000000l,00000000000000000013,184,0
0000000000000000000f,0000000000000000001a,00000000000000000019,208,0
000000000000000000au,0000000000000000000j,0000000000000000000c,189,0
0000000000000000001e,0000000000000000000w,0000000000000000000r,217,0
00000000000000000083,0000000000000000000m,0000000000000000000a,237,0
0000000000000000000d,0000000000000000001h,00000000000000000006,182,0
0000000000000000009e,0000000000000000001g,00000000000000000016,194,0
0000000000000000004o,0000000000000000001p,00000000000000000012,235,0
00000000000000000098,0000000000000000000n,0000000000000000001s,228,0
00000000000000000055,0000000000000000001o,00000000000000000018,213,0
0000000000000000009v,0000000000000000000g,00000000000000000005,209,0
00000000000000000045,0000000000000000000b,0000000000000000000z,181,0
0000000000000000002e,0000000000000000000y,00000000000000000017,187,0
00000000000000000062,00000000000000000010,00000000000000000003,229,0
0000000000000000001i,0000000000000000001e,0000000000000000000l,220,0
00000000000000000050,0000000000000000001b,0000000000000000001a,221,0
00000000000000000006,0000000000000000000q,0000000000000000000j,204,0
0000000000000000004c,0000000000000000001q,0000000000000000000w,231,0
0000000000000000000k,0000000000000000000u,0000000000000000000m,234,0
000000000000000000as,00000000000000000008,0000000000000000001h,200,0
0000000000000000004j,0000000000000000001k,0000000000000000001g,219,0
0000000000000000005m,0000000000000000000h,0000000000000000001p,225,0
0000000000000000005r,0000000000000000000i,0000000000000000000n,192,0
0000000000000000009d,0000000000000000000p,0000000000000000001o,207,0
0000000000000000007u,0000000000000000000d,0000000000000000000g,190,0
0000000000000000007h,0000000000000000000v,0000000000000000000b,186,0
00000000000000000068,0000000000000000000f,0000000000000000000y,222,0
00000000000000000022,00000000000000000004,00000000000000000010,218,0
0000000000000000000n,0000000000000000000s,0000000000000000001e,224,0
0000000000000000003y,0000000000000000001n,0000000000000000001b,185,0
0000000000000000003t,00000000000000000009,0000000000000000000q,215,0
00000000000000000081,0000000000000000001r,0000000000000000001q,223,0
0000000000000000004e,00000000000000000011,0000000000000000000u,183,0
00000000000000000020,0000000000000000001l,00000000000000000008,201,0
0000000000000000006o,0000000000000000001m,0000000000000000001k,226,0
00000000000000000056,00000000000000000002,0000000000000000000h,199,0
000000000000000000ap,0000000000000000000e,0000000000000000000i,212,0
00000000000000000008,0000000000000000001j,0000000000000000000p,202,0
0000000000000000005s,0000000000000000001c,0000000000000000000d,233,0
000000000000000000a3,0000000000000000000x,0000000000000000000v,232,0
0000000000000000009x,0000000000000000000t,0000000000000000000f,203,0
0000000000000000005l,00000000000000000001,00000000000000000004,196,0
00000000000000000051,00000000000000000007,0000000000000000000s,191,0
0000000000000000007f,0000000000000000001d,0000000000000000001n,214,0
0000000000000000007o,00000000000000000014,00000000000000000009,216,0
00000000000000000035,00000000000000000015,0000000000000000001r,230,0
000000000000000000ag,0000000000000000000o,00000000000000000011,227,0
000000000000000000a6,0000000000000000001f,0000000000000000001l,206,0
0000000000000000005v,0000000000000000001i,0000000000000000001u,210,0
000000000000000000a7,0000000000000000000k,0000000000000000001m,188,0
0000000000000000007e,00000000000000000013,00000000000000000002,236,0
0000000000000000005y,00000000000000000019,0000000000000000000e,197,0
000000000000000000ah,0000000000000000000c,0000000000000000001j,198,0
0000000000000000001d,0000000000000000000r,0000000000000000001c,205,0
0000000000000000007d,0000000000000000000a,0000000000000000000x,193,0
0000000000000000002o,00000000000000000006,0000000000000000000t,211,0
0000000000000000008w,00000000000000000016,00000000000000000001,195,0
0000000000000000006w,00000000000000000012,00000000000000000007,184,0
0000000000000000004a,00000000000000000018,0000000000000000001d,208,0
0000000000000000004x,00000000000000000005,00000000000000000014,189,0
0000000000000000005p,0000000000000000000z,00000000000000000015,217,0
0000000000000000007x,00000000000000000017,0000000000000000000o,237,0
0000000000000000009n,00000000000000000003,0000000000000000001t,182,0
0000000000000000007g,0000000000000000000l,0000000000000000001f,194,0
0000000000000000009w,0000000000000000001a,0000000000000000001i,235,0
0000000000000000004v,0000000000000000000j,0000000000000000000k,228,0
0000000000000000006v,0000000000000000000w,00000000000000000013,213,0
000000000000000000a8,0000000000000000000m,00000000000000000019,209,0
0000000000000000007q,0000000000000000001h,0000000000000000000c,181,0
0000000000000000004l,0000000000000000001g,0000000000000000000r,187,0
00000000000000000072,0000000000000000001p,0000000000000000000a,229,0
0000000000000000004u,0000000000000000000n,00000000000000000006,220,0
00000000000000000049,0000000000000000001o,00000000000000000016,221,0
0000000000000000003z,0000000000000000000g,00000000000000000012,204,0
0000000000000000002y,0000000000000000000b,0000000000000000001s,231,0
0000000000000000000h,0000000000000000000y,00000000000000000018,234,0
0000000000000000003k,00000000000000000010,00000000000000000005,200,0
0000000000000000008d,0000000000000000001e,0000000000000000000z,219,0
00000000000000000059,0000000000000000001b,00000000000000000017,225,0
0000000000000000006k,0000000000000000000q,00000000000000000003,192,0
0000000000000000002a,0000000000000000001q,0000000000000000000l,207,0
00000000000000000036,0000000000000000000u,0000000000000000001a,190,0
000000000000000000ak,00000000000000000008,0000000000000000000j,186,0
0000000000000000008l,0000000000000000001k,0000000000000000000w,222,0
0000000000000000000l,0000000000000000000h,0000000000000000000m,218,0
0000000000000000001y,0000000000000000000i,0000000000000000001h,224,0
0000000000000000009p,0000000000000000000p,0000000000000000001g,185,0
0000000000000000008p,0000000000000000000d,0000000000000000001p,215,0
0000000000000000001u,0000000000000000000v,0000000000000000000n,223,0
00000000000000000064,0000000000000000000f,0000000000000000001o,183,0
0000000000000000006g,00000000000000000004,0000000000000000000g,201,0
0000000000000000007b,0000000000000000000s,0000000000000000000b,226,0
0000000000000000005o,0000000000000000001n,0000000000000000000y,199,0
00000000000000000077,00000000000000000009,00000000000000000010,212,0
00000000000000000023,0000000000000000001r,0000000000000000001e,202,0
0000000000000000006y,00000000000000000011,0000000000000000001b,233,0
0000000000000000009z,0000000000000000001l,0000000000000000000q,232,0
00000000000000000071,0000000000000000001m,0000000000000000001q,203,0
0000000000000000001t,00000000000000000002,0000000000000000000u,196,0
00000000000000000070,0000000000000000000e,00000000000000000008,191,0
00000000000000000048,0000000000000000001j,0000000000000000001k,214,0
0000000000000000000s,0000000000000000001c,0000000000000000000h,216,0
0000000000000000005j,0000000000000000000x,0000000000000000000i,230,0
0000000000000000003l,0000000000000000000t,0000000000000000000p,227,0
00000000000000000093,00000000000000000001,0000000000000000000d,206,0
00000000000000000029,00000000000000000007,0000000000000000000v,210,0
0000000000000000002g,0000000000000000001d,0000000000000000000f,188,0
0000000000000000007i,00000000000000000014,00000000000000000004,236,0
0000000000000000005d,00000000000000000015,0000000000000000000s,197,0
0000000000000000008j,0000000000000000000o,0000000000000000001n,198,0
0000000000000000007k,0000000000000000001f,00000000000000000009,205,0
00000000000000000009,0000000000000000001i,0000000000000000001r,193,0
0000000000000000006i,0000000000000000000k,00000000000000000011,211,0
0000000000000000000u,00000000000000000013,0000000000000000001l,195,0
0000000000000000002s,00000000000000000019,0000000000000000001u,184,0
0000000000000000008f,0000000000000000000c,0000000000000000001m,208,0
00000000000000000001,0000000000000000000r,00000000000000000002,189,0
0000000000000000000q,0000000000000000000a,0000000000000000000e,217,0
0000000000000000009c,00000000000000000006,0000000000000000001j,237,0
00000000000000000033,00000000000000000016,0000000000000000001c,182,0
000000000000000000aa,00000000000000000012,0000000000000000000x,194,0
00000000000000000037,00000000000000000018,0000000000000000000t,235,0
0000000000000000001b,00000000000000000005,00000000000000000001,228,0
0000000000000000005x,0000000000000000000z,00000000000000000007,213,0
0000000000000000008a,00000000000000000017,0000000000000000001d,209,0
0000000000000000004s,00000000000000000003,00000000000000000014,181,0
0000000000000000006l,0000000000000000000l,00000000000000000015,187,0
00000000000000000030,0000000000000000001a,0000000000000000000o,229,0
000000000000000000a0,0000000000000000000j,0000000000000000001t,220,0
0000000000000000007r,0000000000000000000w,0000000000000000001f,221,0
0000000000000000005b,0000000000000000000m,0000000000000000001i,204,0
00000000000000000021,0000000000000000001h,0000000000000000000k,231,0
0000000000000000000c,0000000000000000001g,00000000000000000013,234,0
0000000000000000008o,0000000000000000001p,00000000000000000019,200,0
00000000000000000014,0000000000000000000n,0000000000000000000c,219,0
0000000000000000000v,0000000000000000001o,0000000000000000000r,225,0
0000000000000000008z,0000000000000000000g,0000000000000000000a,192,0
00000000000000000092,0000000000000000000b,00000000000000000006,207,0
000000000000000000ab,0000000000000000000y,00000000000000000016,190,0
00000000000000000044,00000000000000000010,00000000000000000012,186,0
0000000000000000004d,0000000000000000001e,0000000000000000001s,222,0
0000000000000000001a,0000000000000000001b,00000000000000000018,218,0
00000000000000000057,0000000000000000000q,00000000000000000005,224,0
0000000000000000007z,0000000000000000001q,0000000000000000000z,185,0
0000000000000000007w,0000000000000000000u,00000000000000000017,215,0
0000000000000000008x,00000000000000000008,00000000000000000003,223,0
0000000000000000007m,0000000000000000001k,0000000000000000000l,183,0
0000000000000000001p,0000000000000000000h,0000000000000000001a,201,0
0000000000000000006t,0000000000000000000i,0000000000000000000j,226,0
0000000000000000008s,0000000000000000000p,0000000000000000000w,199,0
00000000000000000040,0000000000000000000d,0000000000000000000m,212,0
000000000000000000ac,0000000000000000000v,0000000000000000001h,202,0
0000000000000000006f,0000000000000000000f,0000000000000000001g,233,0
0000000000000000000g,00000000000000000004,0000000000000000001p,232,0
000000000000000000a2,0000000000000000000s,0000000000000000000n,203,0
00000000000000000097,0000000000000000001n,0000000000000000001o,196,0
0000000000000000006a,00000000000000000009,0000000000000000000g,191,0
000000000000000000al,0000000000000000001r,0000000000000000000b,214,0
00000000000000000079,00000000000000000011,0000000000000000000y,216,0
0000000000000000000t,0000000000000000001l,00000000000000000010,230,0
0000000000000000004f,0000000000000000001m,0000000000000000001e,227,0
0000000000000000002q,00000000000000000002,0000000000000000001b,206,0
0000000000000000002d,0000000000000000000e,0000000000000000000q,210,0
0000000000000000005c,0000000000000000001j,0000000000000000001q,188,0
0000000000000000008k,0000000000000000001c,0000000000000000000u,236,0
0000000000000000009u,0000000000000000000x,00000000000000000008,197,0
0000000000000000003f,0000000000000000000t,0000000000000000001k,198,0
0000000000000000004r,00000000000000000001,0000000000000000000h,205,0
0000000000000000002x,00000000000000000007,0000000000000000000i,193,0
0000000000000000009q,0000000000000000001d,0000000000000000000p,211,0
0000000000000000000j,00000000000000000014,0000000000000000000d,195,0
0000000000000000002r,00000000000000000015,0000000000000000000v,184,0
00000000000000000096,0000000000000000000o,0000000000000000000f,208,0
0000000000000000002j,0000000000000000001f,00000000000000000004,189,0
0000000000000000009o,0000000000000000001i,0000000000000000000s,217,0
00000000000000000047,0000000000000000000k,0000000000000000001n,237,0
0000000000000000004n,00000000000000000013,00000000000000000009,182,0
0000000000000000008i,00000000000000000019,0000000000000000001r,194,0
0000000000000000000b,0000000000000000000c,00000000000000000011,235,0
0000000000000000007y,0000000000000000000r,0000000000000000001l,228,0
000000000000000000ad,0000000000000000000a,0000000000000000001u,213,0
000000000000000000af,00000000000000000006,0000000000000000001m,209,0
0000000000000000006p,00000000000000000016,00000000000000000002,181,0
0000000000000000005w,00000000000000000012,0000000000000000000e,187,0
0000000000000000000y,00000000000000000018,0000000000000000001j,229,0
00000000000000000074,00000000000000000005,0000000000000000001c,220,0
00000000000000000091,0000000000000000000z,0000000000000000000x,221,0
000000000000000000ai,00000000000000000017,0000000000000000000t,204,0
0000000000000000006z,00000000000000000003,00000000000000000001,231,0
0000000000000000004k,0000000000000000000l,00000000000000000007,234,0
