route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
0000000000000000002r,0000000000000000001q,000000000000000001xl,00000000000000000057,0000000000000000007z,27,000000000000000001xl,000000000000000000ey,18
0000000000000000002j,0000000000000000001v,00000000000000000140,0000000000000000007z,000000000000000000b3,8,00000000000000000140,000000000000000000cg,13
00000000000000000047,0000000000000000002h,000000000000000000qt,000000000000000000b3,0000000000000000007w,36,000000000000000000qt,000000000000000000f9,15
0000000000000000004n,0000000000000000002k,000000000000000001mc,0000000000000000007w,0000000000000000008x,1,000000000000000001mc,00000000000000000044,4
0000000000000000000b,0000000000000000000w,000000000000000000pm,0000000000000000008x,0000000000000000007m,13,000000000000000000pm,0000000000000000004d,9
0000000000000000006p,0000000000000000001n,000000000000000001d5,0000000000000000007m,0000000000000000001p,32,000000000000000001d5,0000000000000000001a,2
0000000000000000005w,0000000000000000002n,0000000000000000010d,0000000000000000001p,0000000000000000006t,28,0000000000000000010d,00000000000000000057,14
0000000000000000000y,0000000000000000001j,0000000000000000004y,0000000000000000006t,0000000000000000008s,0,0000000000000000004y,0000000000000000007z,1
00000000000000000074,0000000000000000001m,000000000000000000dr,0000000000000000008s,00000000000000000040,6,000000000000000000dr,000000000000000000b3,7
0000000000000000006z,0000000000000000001f,000000000000000001gj,00000000000000000040,000000000000000000dc,39,000000000000000001gj,0000000000000000007w,20
0000000000000000004k,0000000000000000001r,0000000000000000015g,000000000000000000dc,000000000000000000ac,23,0000000000000000015g,0000000000000000008x,12
0000000000000000006c,00000000000000000012,0000000000000000000j,000000000000000000ac,0000000000000000006f,19,0000000000000000000j,0000000000000000007m,10
0000000000000000004z,00000000000000000007,000000000000000000v5,0000000000000000006f,0000000000000000000g,38,000000000000000000v5,0000000000000000001p,6
00000000000000000016,0000000000000000000m,000000000000000000e4,0000000000000000000g,000000000000000000bk,11,000000000000000000e4,000000000000000000g1,5
0000000000000000002b,0000000000000000001w,000000000000000001fe,000000000000000000bk,000000000000000000b6,26,000000000000000001fe,000000000000000000g2,3
0000000000000000003w,0000000000000000000p,000000000000000001fs,000000000000000000b6,000000000000000000a2,9,000000000000000001fs,0000000000000000006t,19
0000000000000000003o,0000000000000000002c,000000000000000000y8,000000000000000000a2,00000000000000000097,5,000000000000000000y8,0000000000000000008s,16
00000000000000000019,00000000000000000017,00000000000000000073,00000000000000000097,0000000000000000006a,37,00000000000000000073,00000000000000000040,11
0000000000000000004h,0000000000000000000r,0000000000000000016e,0000000000000000006a,000000000000000000bl,4,0000000000000000016e,000000000000000000dc,8
00000000000000000046,0000000000000000002i,000000000000000001t3,000000000000000000bl,000000000000000000al,34,000000000000000001t3,000000000000000000ac,17
00000000000000000013,00000000000000000003,0000000000000000007q,000000000000000000al,00000000000000000079,2,0000000000000000007q,000000000000000000gf,18
00000000000000000005,00000000000000000026,000000000000000001o6,00000000000000000079,000000000000000000bq,20,000000000000000001o6,0000000000000000006f,13
0000000000000000003m,0000000000000000000a,000000000000000001a4,000000000000000000bq,000000000000000000bw,18,000000000000000001a4,0000000000000000000g,15
0000000000000000002p,00000000000000000011,000000000000000000i9,000000000000000000bw,0000000000000000000t,31,000000000000000000i9,000000000000000000bk,4
0000000000000000006j,0000000000000000001z,000000000000000000kx,0000000000000000000t,000000000000000000c1,21,000000000000000000kx,000000000000000000b6,9
0000000000000000001k,00000000000000000027,000000000000000001pd,000000000000000000c1,0000000000000000004f,22,000000000000000001pd,000000000000000000a2,2
00000000000000000076,00000000000000000010,0000000000000000006o,0000000000000000004f,0000000000000000002q,15,0000000000000000006o,00000000000000000097,14
0000000000000000004i,0000000000000000002l,000000000000000001t9,0000000000000000002q,0000000000000000002d,10,000000000000000001t9,000000000000000000eu,1
0000000000000000004w,00000000000000000004,000000000000000000vy,0000000000000000002d,0000000000000000005c,33,000000000000000000vy,000000000000000000fc,7
0000000000000000000i,0000000000000000001c,0000000000000000009q,0000000000000000005c,0000000000000000008k,35,0000000000000000009q,0000000000000000006a,20
0000000000000000001o,00000000000000000025,000000000000000000ho,000000000000000000ds,0000000000000000009u,25,000000000000000000ho,000000000000000000bl,12
0000000000000000005k,0000000000000000002f,000000000000000001tt,0000000000000000008k,0000000000000000003f,29,000000000000000001tt,000000000000000000al,10
0000000000000000004b,0000000000000000001h,000000000000000000k1,0000000000000000009u,0000000000000000004r,7,000000000000000000k1,00000000000000000079,6
00000000000000000002,0000000000000000001s,000000000000000001xr,0000000000000000003f,000000000000000000be,16,000000000000000001xr,000000000000000000bq,5
0000000000000000001g,00000000000000000015,00000000000000000122,0000000000000000004r,0000000000000000002x,17,00000000000000000122,000000000000000000es,3
00000000000000000066,0000000000000000001l,000000000000000000li,000000000000000000be,0000000000000000009q,24,000000000000000000li,000000000000000000bw,19
0000000000000000001x,0000000000000000000z,000000000000000001uz,0000000000000000002x,0000000000000000000j,12,000000000000000001uz,0000000000000000000t,16
0000000000000000006e,0000000000000000000x,000000000000000001nr,0000000000000000009q,0000000000000000002r,30,000000000000000001nr,000000000000000000c1,11
0000000000000000002m,00000000000000000024,000000000000000001uj,0000000000000000000j,00000000000000000096,14,000000000000000001uj,0000000000000000004f,8
00000000000000000060,0000000000000000000e,000000000000000000xj,000000000000000000dq,0000000000000000002j,3,000000000000000000xj,0000000000000000002q,17
00000000000000000042,00000000000000000018,000000000000000000wc,0000000000000000002r,0000000000000000009o,27,000000000000000000wc,000000000000000000eq,18
0000000000000000005t,0000000000000000000f,000000000000000001ge,00000000000000000096,00000000000000000047,8,000000000000000001ge,0000000000000000002d,13
0000000000000000000o,0000000000000000001e,000000000000000000x9,0000000000000000002j,0000000000000000004n,36,000000000000000000x9,0000000000000000005c,15
00000000000000000028,0000000000000000000d,000000000000000000fy,0000000000000000009o,0000000000000000008i,1,000000000000000000fy,000000000000000000hs,4
0000000000000000001q,0000000000000000002e,000000000000000001j3,00000000000000000047,0000000000000000000b,13,000000000000000001j3,000000000000000000ds,9
0000000000000000003d,0000000000000000001i,000000000000000001af,0000000000000000004n,0000000000000000007y,32,000000000000000001af,0000000000000000008k,2
0000000000000000003b,00000000000000000006,0000000000000000019l,0000000000000000008i,000000000000000000ad,28,0000000000000000019l,0000000000000000009u,14
0000000000000000001v,0000000000000000000k,000000000000000000wy,0000000000000000000b,000000000000000000af,0,000000000000000000wy,0000000000000000003f,1
0000000000000000002h,00000000000000000022,000000000000000001rz,0000000000000000007y,0000000000000000006p,6,000000000000000001rz,0000000000000000004r,7
0000000000000000002k,0000000000000000000n,000000000000000000vk,000000000000000000ad,0000000000000000005w,39,000000000000000000vk,000000000000000000be,20
0000000000000000003e,00000000000000000020,0000000000000000019v,000000000000000000af,000000000000000000cz,23,0000000000000000019v,000000000000000000fu,12
00000000000000000041,00000000000000000008,000000000000000000s1,0000000000000000006p,0000000000000000000y,19,000000000000000000s1,000000000000000000ew,10
00000000000000000043,0000000000000000001d,000000000000000001w7,0000000000000000005w,00000000000000000074,38,000000000000000001w7,0000000000000000002x,6
0000000000000000004t,0000000000000000002o,000000000000000001ne,000000000000000000cz,00000000000000000091,11,000000000000000001ne,0000000000000000009q,5
0000000000000000000w,0000000000000000000h,000000000000000001rg,0000000000000000000y,000000000000000000ai,26,000000000000000001rg,0000000000000000000j,3
0000000000000000001n,0000000000000000002a,000000000000000001a7,00000000000000000074,0000000000000000006z,9,000000000000000001a7,000000000000000000dq,19
0000000000000000002n,0000000000000000000l,0000000000000000011v,00000000000000000091,000000000000000000d4,5,0000000000000000011v,0000000000000000002r,16
0000000000000000001j,0000000000000000001y,000000000000000000a1,000000000000000000ai,0000000000000000004k,37,000000000000000000a1,000000000000000000fg,11
0000000000000000001m,0000000000000000001u,000000000000000000zp,0000000000000000006z,0000000000000000006c,4,000000000000000000zp,00000000000000000096,8
0000000000000000005g,00000000000000000023,0000000000000000014h,000000000000000000d4,0000000000000000004z,34,0000000000000000014h,000000000000000000e4,17
0000000000000000001f,0000000000000000001t,000000000000000001up,0000000000000000004k,00000000000000000016,2,000000000000000001up,0000000000000000002j,18
0000000000000000004q,0000000000000000000s,0000000000000000017d,0000000000000000006c,0000000000000000002b,20,0000000000000000017d,0000000000000000009o,13
0000000000000000006u,00000000000000000029,000000000000000001kk,0000000000000000004z,0000000000000000003w,18,000000000000000001kk,00000000000000000047,15
0000000000000000003n,0000000000000000002g,00000000000000000014,00000000000000000016,0000000000000000003o,31,00000000000000000014,0000000000000000004n,4
0000000000000000001r,00000000000000000009,000000000000000001tk,0000000000000000002b,000000000000000000b9,21,000000000000000001tk,0000000000000000008i,9
0000000000000000005u,0000000000000000000u,0000000000000000002y,0000000000000000003w,000000000000000000c8,22,0000000000000000002y,0000000000000000000b,2
00000000000000000012,0000000000000000002s,000000000000000001do,0000000000000000003o,0000000000000000009h,15,000000000000000001do,0000000000000000007y,14
0000000000000000005i,00000000000000000001,000000000000000000lo,000000000000000000b9,000000000000000000cw,10,000000000000000000lo,000000000000000000ad,1
0000000000000000002v,0000000000000000000q,0000000000000000003l,000000000000000000c8,000000000000000000bc,33,0000000000000000003l,000000000000000000h5,7
00000000000000000007,0000000000000000001b,000000000000000001lf,0000000000000000009h,0000000000000000009r,35,000000000000000001lf,000000000000000000af,20
00000000000000000052,00000000000000000021,000000000000000001fx,000000000000000000cw,00000000000000000019,25,000000000000000001fx,0000000000000000006p,12
0000000000000000000m,0000000000000000000c,0000000000000000005e,000000000000000000bc,0000000000000000004h,29,0000000000000000005e,0000000000000000005w,10
00000000000000000069,00000000000000000014,0000000000000000013z,0000000000000000009r,00000000000000000046,7,0000000000000000013z,000000000000000000cz,6
0000000000000000001w,0000000000000000000v,0000000000000000013h,00000000000000000019,00000000000000000013,16,0000000000000000013h,0000000000000000000y,5
0000000000000000005f,0000000000000000001a,000000000000000000va,0000000000000000004h,00000000000000000005,17,000000000000000000va,00000000000000000074,3
0000000000000000000p,0000000000000000001p,00000000000000000167,00000000000000000046,0000000000000000003m,24,00000000000000000167,000000000000000000gq,19
0000000000000000004p,0000000000000000000g,000000000000000001ws,000000000000000000dw,0000000000000000009t,12,000000000000000001ws,000000000000000000ed,16
0000000000000000006b,0000000000000000000t,000000000000000001hz,00000000000000000013,0000000000000000002p,30,000000000000000001hz,00000000000000000091,11
0000000000000000002c,0000000000000000002q,000000000000000001qq,00000000000000000005,00000000000000000085,14,000000000000000001qq,000000000000000000ai,8
0000000000000000004m,0000000000000000002d,0000000000000000012k,0000000000000000003m,0000000000000000008g,3,0000000000000000012k,0000000000000000006z,17
00000000000000000061,0000000000000000000j,000000000000000001f0,0000000000000000009t,000000000000000000ch,27,000000000000000001f0,000000000000000000d4,18
0000000000000000006r,0000000000000000002r,000000000000000001lp,0000000000000000002p,0000000000000000006j,8,000000000000000001lp,0000000000000000004k,13
00000000000000000017,0000000000000000002j,000000000000000001wb,00000000000000000085,0000000000000000001k,36,000000000000000001wb,0000000000000000006c,15
00000000000000000031,0000000000000000000b,000000000000000000nd,0000000000000000008g,000000000000000000cf,1,000000000000000000nd,000000000000000000gd,4
0000000000000000000r,0000000000000000000y,000000000000000001me,000000000000000000ch,000000000000000000b2,13,000000000000000001me,0000000000000000004z,9
0000000000000000002i,00000000000000000016,000000000000000001i1,0000000000000000006j,00000000000000000076,32,000000000000000001i1,000000000000000000h6,2
0000000000000000006d,0000000000000000002b,000000000000000000oz,0000000000000000001k,0000000000000000004i,28,000000000000000000oz,00000000000000000016,14
00000000000000000003,00000000000000000019,0000000000000000012l,000000000000000000cf,0000000000000000004w,0,0000000000000000012l,0000000000000000002b,1
00000000000000000026,00000000000000000013,000000000000000001gn,000000000000000000dd,000000000000000000aq,6,000000000000000001gn,0000000000000000003w,7
0000000000000000000a,00000000000000000005,000000000000000001c0,000000000000000000b2,000000000000000000a5,39,000000000000000001c0,000000000000000000h1,20
00000000000000000078,0000000000000000002p,000000000000000001ga,00000000000000000076,000000000000000000bd,23,000000000000000001ga,000000000000000000he,12
0000000000000000005e,0000000000000000001k,000000000000000000qp,0000000000000000004i,0000000000000000000i,19,000000000000000000qp,0000000000000000003o,10
0000000000000000002t,0000000000000000000i,000000000000000000w6,0000000000000000004w,000000000000000000d0,38,000000000000000000w6,000000000000000000b9,6
0000000000000000003x,0000000000000000001o,000000000000000001y0,000000000000000000aq,0000000000000000001o,11,000000000000000001y0,000000000000000000c8,5
00000000000000000034,00000000000000000002,000000000000000001lg,000000000000000000a5,0000000000000000005k,26,000000000000000001lg,0000000000000000009h,3
00000000000000000011,0000000000000000001g,000000000000000001hk,000000000000000000bd,0000000000000000004b,9,000000000000000001hk,000000000000000000cw,19
0000000000000000001z,0000000000000000001x,0000000000000000017m,0000000000000000000i,00000000000000000002,5,0000000000000000017m,000000000000000000em,16
00000000000000000063,0000000000000000002m,000000000000000001zb,000000000000000000d0,0000000000000000001g,37,000000000000000001zb,000000000000000000fj,11
00000000000000000027,0000000000000000000o,0000000000000000011g,0000000000000000001o,0000000000000000009j,4,0000000000000000011g,000000000000000000bc,8
00000000000000000010,00000000000000000028,0000000000000000008a,0000000000000000005k,0000000000000000008v,34,0000000000000000008a,000000000000000000ee,17
0000000000000000003c,0000000000000000001q,0000000000000000003m,0000000000000000004b,00000000000000000066,2,0000000000000000003m,0000000000000000009r,18
0000000000000000002l,0000000000000000001v,000000000000000001pj,000000000000000000dl,0000000000000000001x,20,000000000000000001pj,00000000000000000019,13
0000000000000000005n,0000000000000000002h,000000000000000000gi,00000000000000000002,0000000000000000006e,18,000000000000000000gi,0000000000000000004h,15
0000000000000000006h,0000000000000000002k,000000000000000001yf,0000000000000000001g,0000000000000000002m,31,000000000000000001yf,00000000000000000046,4
00000000000000000004,0000000000000000000w,0000000000000000017s,0000000000000000009j,000000000000000000bu,21,0000000000000000017s,000000000000000000dw,9
0000000000000000002w,0000000000000000001n,000000000000000001po,0000000000000000008v,000000000000000000bf,22,000000000000000001po,000000000000000000h7,2
0000000000000000003u,0000000000000000002n,000000000000000000op,00000000000000000066,000000000000000000a1,15,000000000000000000op,000000000000000000e2,14
00000000000000000058,0000000000000000001j,000000000000000001v4,0000000000000000001x,0000000000000000008h,10,000000000000000001v4,00000000000000000013,1
00000000000000000053,0000000000000000001m,000000000000000001vy,0000000000000000006e,0000000000000000009k,33,000000000000000001vy,00000000000000000005,7
0000000000000000003p,0000000000000000001f,000000000000000001of,0000000000000000002m,000000000000000000d6,35,000000000000000001of,0000000000000000003m,20
0000000000000000002z,0000000000000000001r,000000000000000000jr,000000000000000000bu,00000000000000000060,25,000000000000000000jr,0000000000000000009t,12
0000000000000000001c,00000000000000000012,000000000000000001hd,000000000000000000bf,000000000000000000am,29,000000000000000001hd,0000000000000000002p,10
0000000000000000006n,00000000000000000007,000000000000000001sl,000000000000000000a1,00000000000000000042,7,000000000000000001sl,000000000000000000e0,6
0000000000000000004g,0000000000000000000m,000000000000000001nw,0000000000000000008h,0000000000000000005t,16,000000000000000001nw,00000000000000000085,5
0000000000000000003g,0000000000000000001w,000000000000000000l4,0000000000000000009k,000000000000000000at,17,000000000000000000l4,000000000000000000ff,3
0000000000000000005h,0000000000000000000p,000000000000000001vn,000000000000000000d6,0000000000000000000o,24,000000000000000001vn,0000000000000000008g,19
00000000000000000025,0000000000000000002c,0000000000000000008i,00000000000000000060,00000000000000000028,12,0000000000000000008i,000000000000000000ch,16
0000000000000000006q,00000000000000000017,000000000000000001jy,000000000000000000am,0000000000000000001q,30,000000000000000001jy,000000000000000000fz,11
0000000000000000006m,0000000000000000000r,000000000000000001sv,00000000000000000042,0000000000000000009f,14,000000000000000001sv,0000000000000000006j,8
0000000000000000003q,0000000000000000002i,000000000000000001w3,0000000000000000005t,0000000000000000003d,3,000000000000000001w3,0000000000000000001k,17
0000000000000000004y,00000000000000000003,000000000000000001e8,000000000000000000at,0000000000000000003b,27,000000000000000001e8,000000000000000000cf,18
00000000000000000075,00000000000000000026,000000000000000001jc,0000000000000000000o,0000000000000000001v,8,000000000000000001jc,000000000000000000ej,13
00000000000000000054,0000000000000000000a,000000000000000000dx,00000000000000000028,0000000000000000002h,36,000000000000000000dx,000000000000000000dd,15
0000000000000000003v,00000000000000000011,000000000000000000zg,0000000000000000001q,00000000000000000088,1,000000000000000000zg,000000000000000000b2,4
0000000000000000003j,0000000000000000001z,00000000000000000080,0000000000000000009f,0000000000000000008q,13,00000000000000000080,00000000000000000076,9
0000000000000000002f,00000000000000000027,000000000000000001es,0000000000000000003d,0000000000000000002k,32,000000000000000001es,0000000000000000004i,2
0000000000000000006s,00000000000000000010,0000000000000000005d,0000000000000000003b,000000000000000000ae,28,0000000000000000005d,0000000000000000004w,14
00000000000000000073,0000000000000000002l,0000000000000000012c,0000000000000000001v,0000000000000000003e,0,0000000000000000012c,000000000000000000f0,1
0000000000000000001h,00000000000000000004,0000000000000000011w,0000000000000000002h,00000000000000000041,6,0000000000000000011w,000000000000000000aq,7
00000000000000000065,0000000000000000001c,000000000000000000bo,00000000000000000088,00000000000000000043,39,000000000000000000bo,000000000000000000h2,20
0000000000000000001s,00000000000000000025,000000000000000000rq,0000000000000000008q,00000000000000000080,23,000000000000000000rq,000000000000000000a5,12
0000000000000000003a,0000000000000000002f,0000000000000000018p,0000000000000000002k,000000000000000000bt,19,0000000000000000018p,000000000000000000bd,10
00000000000000000015,0000000000000000001h,000000000000000000ux,000000000000000000ae,0000000000000000004t,38,000000000000000000ux,000000000000000000f4,6
0000000000000000001l,0000000000000000001s,0000000000000000019o,0000000000000000003e,000000000000000000cu,11,0000000000000000019o,0000000000000000000i,5
0000000000000000005a,00000000000000000015,000000000000000001kl,00000000000000000041,0000000000000000000w,26,000000000000000001kl,000000000000000000d0,3
0000000000000000000z,0000000000000000001l,0000000000000000002r,00000000000000000043,000000000000000000cb,9,0000000000000000002r,0000000000000000001o,19
0000000000000000000x,0000000000000000000z,000000000000000001mf,000000000000000000dm,000000000000000000bn,5,000000000000000001mf,000000000000000000fb,16
00000000000000000032,0000000000000000000x,000000000000000000aa,00000000000000000080,0000000000000000001n,37,000000000000000000aa,0000000000000000005k,11
00000000000000000038,00000000000000000024,000000000000000001eg,000000000000000000bt,0000000000000000002n,4,000000000000000001eg,0000000000000000004b,8
0000000000000000002u,0000000000000000000e,000000000000000000q3,0000000000000000004t,000000000000000000ck,34,000000000000000000q3,000000000000000000dl,17
0000000000000000003h,00000000000000000018,000000000000000001j8,000000000000000000cu,000000000000000000cn,2,000000000000000001j8,000000000000000000gu,18
00000000000000000067,0000000000000000000f,000000000000000000ma,0000000000000000000w,000000000000000000cr,20,000000000000000000ma,000000000000000000h9,13
0000000000000000003i,0000000000000000001e,0000000000000000001f,000000000000000000cb,000000000000000000bx,18,0000000000000000001f,00000000000000000002,15
0000000000000000006x,0000000000000000000d,000000000000000001wm,000000000000000000bn,0000000000000000001j,31,000000000000000001wm,0000000000000000001g,4
00000000000000000024,0000000000000000002e,000000000000000001l5,0000000000000000001n,000000000000000000bp,21,000000000000000001l5,0000000000000000009j,9
0000000000000000005q,0000000000000000001i,000000000000000000zj,0000000000000000002n,0000000000000000001m,22,000000000000000000zj,0000000000000000008v,2
0000000000000000000e,00000000000000000006,0000000000000000016u,000000000000000000ck,0000000000000000008u,15,0000000000000000016u,00000000000000000066,14
0000000000000000005z,0000000000000000000k,000000000000000000pf,000000000000000000dr,0000000000000000005g,10,000000000000000000pf,0000000000000000001x,1
00000000000000000018,00000000000000000022,00000000000000000098,000000000000000000cn,0000000000000000001f,33,00000000000000000098,0000000000000000006e,7
0000000000000000003r,0000000000000000000n,000000000000000001ns,000000000000000000cr,0000000000000000008t,35,000000000000000001ns,0000000000000000002m,20
0000000000000000003s,00000000000000000020,0000000000000000001c,000000000000000000bx,0000000000000000004q,25,0000000000000000001c,000000000000000000bu,12
00000000000000000039,00000000000000000008,00000000000000000101,0000000000000000001j,000000000000000000ao,29,00000000000000000101,000000000000000000bf,10
0000000000000000000f,0000000000000000001d,000000000000000001b8,000000000000000000bp,0000000000000000007j,7,000000000000000001b8,000000000000000000gk,6
0000000000000000001e,0000000000000000002o,0000000000000000006e,0000000000000000001m,0000000000000000006u,16,0000000000000000006e,000000000000000000a1,5
0000000000000000000d,0000000000000000000h,0000000000000000001y,000000000000000000dv,0000000000000000009i,17,0000000000000000001y,0000000000000000008h,3
0000000000000000004o,0000000000000000002a,000000000000000001hs,0000000000000000008u,0000000000000000003n,24,000000000000000001hs,0000000000000000009k,19
00000000000000000055,0000000000000000000l,000000000000000000q0,0000000000000000005g,000000000000000000aj,12,000000000000000000q0,000000000000000000d6,16
00000000000000000045,0000000000000000001y,0000000000000000007m,0000000000000000001f,0000000000000000001r,30,0000000000000000007m,00000000000000000060,11
0000000000000000002e,0000000000000000001u,0000000000000000011x,0000000000000000008t,0000000000000000005u,14,0000000000000000011x,000000000000000000fv,8
00000000000000000062,00000000000000000023,000000000000000000db,0000000000000000004q,000000000000000000bj,3,000000000000000000db,000000000000000000fi,17
0000000000000000001i,0000000000000000001t,000000000000000000ld,000000000000000000ao,00000000000000000012,27,000000000000000000ld,000000000000000000am,18
00000000000000000050,0000000000000000000s,000000000000000001um,0000000000000000007j,000000000000000000cv,8,000000000000000001um,00000000000000000042,13
00000000000000000006,00000000000000000029,0000000000000000012g,0000000000000000006u,0000000000000000005i,36,0000000000000000012g,0000000000000000005t,15
0000000000000000004c,0000000000000000002g,0000000000000000018g,0000000000000000009i,0000000000000000002v,1,0000000000000000018g,000000000000000000at,4
0000000000000000000k,00000000000000000009,0000000000000000014v,0000000000000000003n,00000000000000000007,13,0000000000000000014v,0000000000000000000o,9
0000000000000000004j,0000000000000000000u,000000000000000000wr,000000000000000000aj,00000000000000000052,32,000000000000000000wr,000000000000000000hc,2
0000000000000000005m,0000000000000000002s,000000000000000000y5,0000000000000000001r,0000000000000000008e,28,000000000000000000y5,00000000000000000028,14
0000000000000000005r,00000000000000000001,000000000000000001we,0000000000000000005u,0000000000000000009a,0,000000000000000001we,0000000000000000001q,1
00000000000000000068,0000000000000000000q,000000000000000000dn,000000000000000000bj,0000000000000000000m,6,000000000000000000dn,000000000000000000gr,7
00000000000000000022,0000000000000000001b,000000000000000000fa,00000000000000000012,00000000000000000069,39,000000000000000000fa,000000000000000000f3,20
0000000000000000000n,00000000000000000021,000000000000000001vh,000000000000000000cv,00000000000000000095,23,000000000000000001vh,0000000000000000009f,12
0000000000000000003y,0000000000000000000c,000000000000000000vh,0000000000000000005i,000000000000000000bs,19,000000000000000000vh,0000000000000000003d,10
0000000000000000003t,00000000000000000014,000000000000000000xr,0000000000000000002v,0000000000000000001w,38,000000000000000000xr,0000000000000000003b,6
0000000000000000004e,0000000000000000000v,0000000000000000019g,00000000000000000007,0000000000000000005f,11,0000000000000000019g,0000000000000000001v,5
00000000000000000020,0000000000000000001a,000000000000000000px,00000000000000000052,0000000000000000000p,26,000000000000000000px,0000000000000000002h,3
0000000000000000006o,0000000000000000001p,000000000000000000eh,0000000000000000008e,00000000000000000094,9,000000000000000000eh,00000000000000000088,19
00000000000000000056,0000000000000000000g,000000000000000000jy,0000000000000000009a,000000000000000000co,5,000000000000000000jy,000000000000000000hl,16
00000000000000000008,0000000000000000000t,000000000000000001su,0000000000000000000m,0000000000000000004p,37,000000000000000001su,0000000000000000008q,11
0000000000000000005s,0000000000000000002q,000000000000000001g9,00000000000000000069,0000000000000000009y,4,000000000000000001g9,0000000000000000002k,8
0000000000000000005l,0000000000000000002d,000000000000000000p2,00000000000000000095,0000000000000000006b,34,000000000000000000p2,000000000000000000ae,17
00000000000000000051,0000000000000000000j,000000000000000001r6,000000000000000000de,0000000000000000002c,2,000000000000000001r6,000000000000000000fy,18
