service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000000000000000m,11,11,11,11,11,11,11,2017-07-04,2018-07-04
0000000000000000001w,26,26,26,26,26,26,26,2017-07-02,2018-07-02
0000000000000000000p,9,9,9,9,9,9,9,2017-07-18,2018-07-18
0000000000000000002c,5,5,5,5,5,5,5,2017-07-15,2018-07-15
00000000000000000017,37,37,37,37,37,37,37,2017-07-10,2018-07-10
0000000000000000000r,4,4,4,4,4,4,4,2017-07-07,2018-07-07
0000000000000000002i,34,34,34,34,34,34,34,2017-07-16,2018-07-16
00000000000000000003,2,2,2,2,2,2,2,2017-07-17,2018-07-17
00000000000000000026,20,20,20,20,20,20,20,2017-07-12,2018-07-12
0000000000000000000a,18,18,18,18,18,18,18,2017-07-14,2018-07-14
00000000000000000011,31,31,31,31,31,31,31,2017-07-03,2018-07-03
0000000000000000001z,21,21,21,21,21,21,21,2017-07-08,2018-07-08
00000000000000000027,22,22,22,22,22,22,22,2017-07-01,2018-07-01
00000000000000000010,15,15,15,15,15,15,15,2017-07-13,2018-07-13
0000000000000000002l,10,10,10,10,10,10,10,2017-06-30,2018-06-30
00000000000000000004,33,33,33,33,33,33,33,2017-07-06,2018-07-06
0000000000000000001c,35,35,35,35,35,35,35,2017-07-19,2018-07-19
00000000000000000025,25,25,25,25,25,25,25,2017-07-11,2018-07-11
0000000000000000002f,29,29,29,29,29,29,29,2017-07-09,2018-07-09
0000000000000000001h,7,7,7,7,7,7,7,2017-07-05,2018-07-05
0000000000000000001s,16,16,16,16,16,16,16,2017-07-04,2018-07-04
00000000000000000015,17,17,17,17,17,17,17,2017-07-02,2018-07-02
0000000000000000001l,24,24,24,24,24,24,24,2017-07-18,2018-07-18
0000000000000000000z,12,12,12,12,12,12,12,2017-07-15,2018-07-15
0000000000000000000x,30,30,30,30,30,30,30,2017-07-10,2018-07-10
00000000000000000024,14,14,14,14,14,14,14,2017-07-07,2018-07-07
0000000000000000000e,3,3,3,3,3,3,3,2017-07-16,2018-07-16
00000000000000000018,27,27,27,27,27,27,27,2017-07-17,2018-07-17
0000000000000000000f,8,8,8,8,8,8,8,2017-07-12,2018-07-12
0000000000000000001e,36,36,36,36,36,36,36,2017-07-14,2018-07-14
0000000000000000000d,1,1,1,1,1,1,1,2017-07-03,2018-07-03
0000000000000000002e,13,13,13,13,13,13,13,2017-07-08,2018-07-08
0000000000000000001i,32,32,32,32,32,32,32,2017-07-01,2018-07-01
00000000000000000006,28,28,28,28,28,28,28,2017-07-13,2018-07-13
0000000000000000000k,0,0,0,0,0,0,0,2017-06-30,2018-06-30
00000000000000000022,6,6,6,6,6,6,6,2017-07-06,2018-07-06
0000000000000000000n,39,39,39,39,39,39,39,2017-07-19,2018-07-19
00000000000000000020,23,23,23,23,23,23,23,2017-07-11,2018-07-11
00000000000000000008,19,19,19,19,19,19,19,2017-07-09,2018-07-09
0000000000000000001d,38,38,38,38,38,38,38,2017-07-05,2018-07-05
0000000000000000002o,11,11,11,11,11,11,11,2017-07-04,2018-07-04
0000000000000000000h,26,26,26,26,26,26,26,2017-07-02,2018-07-02
0000000000000000002a,9,9,9,9,9,9,9,2017-07-18,2018-07-18
0000000000000000000l,5,5,5,5,5,5,5,2017-07-15,2018-07-15
0000000000000000001y,37,37,37,37,37,37,37,2017-07-10,2018-07-10
0000000000000000001u,4,4,4,4,4,4,4,2017-07-07,2018-07-07
00000000000000000023,34,34,34,34,34,34,34,2017-07-16,2018-07-16
0000000000000000001t,2,2,2,2,2,2,2,2017-07-17,2018-07-17
0000000000000000000s,20,20,20,20,20,20,20,2017-07-12,2018-07-12
00000000000000000029,18,18,18,18,18,18,18,2017-07-14,2018-07-14
0000000000000000002g,31,31,31,31,31,31,31,2017-07-03,2018-07-03
00000000000000000009,21,21,21,21,21,21,21,2017-07-08,2018-07-08
0000000000000000000u,22,22,22,22,22,22,22,2017-07-01,2018-07-01
0000000000000000002s,15,15,15,15,15,15,15,2017-07-13,2018-07-13
00000000000000000001,10,10,10,10,10,10,10,2017-06-30,2018-06-30
0000000000000000000q,33,33,33,33,33,33,33,2017-07-06,2018-07-06
