stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
000000000000000000gv,0000000000000000007q,000000000000000001pr,000000000000000000lh,3088,3048,,00000000000000000001,0,,,0
000000000000000004gw,000000000000000000i9,000000000000000000tm,000000000000000001o8,2708,2668,,00000000000000000002,6,,,6
0000000000000000015e,000000000000000000kx,00000000000000000278,0000000000000000016i,852,812,,00000000000000000004,11,,,11
000000000000000002d4,0000000000000000006o,000000000000000000o4,0000000000000000005r,4638,4598,,00000000000000000005,9,,,9
000000000000000000i2,000000000000000000vy,000000000000000000wp,000000000000000001pa,1133,1093,,00000000000000000003,5,,,5
000000000000000000to,0000000000000000009q,000000000000000001jb,0000000000000000001r,4485,4445,,00000000000000000001,4,,,4
000000000000000002ai,000000000000000000ho,0000000000000000018y,000000000000000001ac,2113,2073,,00000000000000000002,2,,,2
000000000000000003xz,000000000000000000k1,000000000000000000lh,000000000000000001qg,2263,2223,,00000000000000000004,10,,,10
00000000000000000117,00000000000000000122,000000000000000002jb,000000000000000001yl,1106,1066,,00000000000000000005,7,,,7
00000000000000000036,000000000000000000li,000000000000000001o8,000000000000000002b1,2892,2852,,00000000000000000003,12,,,12
0000000000000000027n,000000000000000000xj,0000000000000000016i,000000000000000001v5,908,868,,00000000000000000001,14,,,14
000000000000000002co,000000000000000000wc,0000000000000000005r,000000000000000001xl,1217,1177,,00000000000000000002,3,,,3
00000000000000000224,000000000000000000x9,000000000000000001pa,00000000000000000140,4314,4274,,00000000000000000004,8,,,8
000000000000000000mk,000000000000000000fy,0000000000000000001r,000000000000000000qt,2031,1991,,00000000000000000005,1,,,1
000000000000000003jq,000000000000000000wy,000000000000000001ac,000000000000000001mc,3595,3555,,00000000000000000003,13,,,13
000000000000000000ud,000000000000000000vk,000000000000000001qg,0000000000000000028j,1658,1618,,00000000000000000001,0,,,0
000000000000000003fh,000000000000000000s1,000000000000000001yl,000000000000000000pm,813,773,,00000000000000000002,6,,,6
000000000000000001ll,0000000000000000011v,000000000000000002b1,000000000000000001d5,3327,3287,,00000000000000000004,11,,,11
000000000000000001pr,000000000000000000a1,000000000000000001v5,0000000000000000010d,3840,3800,,00000000000000000005,9,,,9
000000000000000000tm,000000000000000000zp,000000000000000001xl,0000000000000000004y,4086,4046,,00000000000000000003,5,,,5
00000000000000000278,00000000000000000014,000000000000000002i7,000000000000000000dr,4317,4277,,00000000000000000001,4,,,4
000000000000000000o4,0000000000000000002y,00000000000000000140,000000000000000001gj,2208,2168,,00000000000000000002,2,,,2
000000000000000000wp,000000000000000000lo,000000000000000000qt,0000000000000000015g,1570,1530,,00000000000000000004,10,,,10
000000000000000003aq,0000000000000000003l,000000000000000001mc,0000000000000000000j,247,207,,00000000000000000005,7,,,7
000000000000000001jb,0000000000000000005e,0000000000000000028j,000000000000000000v5,2246,2206,,00000000000000000003,12,,,12
000000000000000004hv,0000000000000000013z,000000000000000000pm,000000000000000000e4,103,63,,00000000000000000001,14,,,14
000000000000000002qr,0000000000000000013h,000000000000000001d5,000000000000000001fe,3757,3717,,00000000000000000002,3,,,3
000000000000000004v3,000000000000000000va,0000000000000000010d,000000000000000001fs,4773,4733,,00000000000000000004,8,,,8
0000000000000000018y,0000000000000000012k,000000000000000002no,000000000000000000y8,4091,4051,,00000000000000000005,1,,,1
0000000000000000045z,000000000000000000nd,000000000000000002cw,0000000000000000021b,1708,1668,,00000000000000000003,13,,,13
000000000000000000lh,000000000000000000oz,0000000000000000004y,0000000000000000026d,2288,2248,,00000000000000000001,0,,,0
000000000000000004az,0000000000000000012l,000000000000000000dr,000000000000000002ca,2581,2541,,00000000000000000002,6,,,6
000000000000000002jb,000000000000000000qp,000000000000000001gj,00000000000000000073,3029,2989,,00000000000000000004,11,,,11
000000000000000002xk,000000000000000000w6,0000000000000000015g,0000000000000000016e,3982,3942,,00000000000000000005,9,,,9
0000000000000000034e,0000000000000000011g,0000000000000000000j,000000000000000001t3,2457,2417,,00000000000000000003,5,,,5
000000000000000003at,0000000000000000008a,000000000000000000v5,0000000000000000007q,2545,2505,,00000000000000000001,4,,,4
000000000000000001o8,0000000000000000003m,000000000000000000e4,000000000000000001o6,3848,3808,,00000000000000000002,2,,,2
0000000000000000016i,000000000000000000gi,000000000000000002of,000000000000000001a4,4558,4518,,00000000000000000004,10,,,10
0000000000000000005r,000000000000000000op,000000000000000001fe,000000000000000000i9,3287,3247,,00000000000000000005,7,,,7
000000000000000001pa,000000000000000000jr,000000000000000001fs,000000000000000000kx,1480,1440,,00000000000000000003,12,,,12
0000000000000000001r,000000000000000000l4,000000000000000000y8,000000000000000001pd,4127,4087,,00000000000000000001,14,,,14
000000000000000002v9,0000000000000000008i,0000000000000000021b,0000000000000000006o,1005,965,,00000000000000000002,3,,,3
000000000000000003nh,000000000000000000dx,0000000000000000026d,000000000000000001t9,2140,2100,,00000000000000000004,8,,,8
0000000000000000034j,000000000000000000zg,000000000000000002ca,000000000000000000vy,3856,3816,,00000000000000000005,1,,,1
000000000000000001ac,00000000000000000080,00000000000000000073,0000000000000000009q,4247,4207,,00000000000000000003,13,,,13
000000000000000001qg,0000000000000000005d,0000000000000000016e,000000000000000000ho,4366,4326,,00000000000000000001,0,,,0
000000000000000001yl,0000000000000000012c,000000000000000001t3,000000000000000001tt,4684,4644,,00000000000000000002,6,,,6
000000000000000002b1,0000000000000000011w,0000000000000000007q,000000000000000000k1,3847,3807,,00000000000000000004,11,,,11
000000000000000004t4,000000000000000000bo,000000000000000001o6,000000000000000001xr,4499,4459,,00000000000000000005,9,,,9
0000000000000000031i,000000000000000000rq,000000000000000001a4,00000000000000000122,2939,2899,,00000000000000000003,5,,,5
000000000000000001v5,000000000000000000ux,000000000000000000i9,000000000000000000li,962,922,,00000000000000000001,4,,,4
000000000000000001xl,0000000000000000002r,000000000000000000kx,000000000000000001uz,4403,4363,,00000000000000000002,2,,,2
000000000000000002xs,000000000000000000aa,000000000000000001pd,000000000000000001nr,1809,1769,,00000000000000000004,10,,,10
000000000000000003hi,000000000000000000q3,0000000000000000006o,000000000000000001uj,4341,4301,,00000000000000000005,7,,,7
000000000000000004r5,000000000000000000ma,000000000000000001t9,000000000000000000xj,3624,3584,,00000000000000000003,12,,,12
000000000000000002i7,0000000000000000001f,000000000000000000vy,000000000000000000wc,1349,1309,,00000000000000000001,14,,,14
00000000000000000140,000000000000000000zj,0000000000000000009q,000000000000000001ge,3484,3444,,00000000000000000002,3,,,3
000000000000000003s8,000000000000000000pf,000000000000000000ho,000000000000000000x9,3096,3056,,00000000000000000004,8,,,8
0000000000000000035j,00000000000000000098,000000000000000001tt,000000000000000000fy,218,178,,00000000000000000005,1,,,1
000000000000000000qt,0000000000000000001c,000000000000000000k1,000000000000000001j3,535,495,,00000000000000000003,13,,,13
000000000000000001mc,00000000000000000101,000000000000000001xr,000000000000000001af,1931,1891,,00000000000000000001,0,,,0
000000000000000002y0,0000000000000000006e,00000000000000000122,0000000000000000022k,1532,1492,,00000000000000000002,6,,,6
000000000000000003um,0000000000000000001y,000000000000000000li,0000000000000000019l,59,19,,00000000000000000004,11,,,11
0000000000000000038v,000000000000000000q0,000000000000000001uz,000000000000000000wy,1161,1121,,00000000000000000005,9,,,9
000000000000000003c6,0000000000000000007m,000000000000000001nr,000000000000000001rz,548,508,,00000000000000000003,5,,,5
000000000000000003wj,0000000000000000011x,000000000000000001uj,000000000000000000vk,3511,3471,,00000000000000000001,4,,,4
000000000000000004al,000000000000000000db,000000000000000000xj,0000000000000000019v,4689,4649,,00000000000000000002,2,,,2
000000000000000003l0,000000000000000000ld,000000000000000000wc,000000000000000000s1,4142,4102,,00000000000000000004,10,,,10
000000000000000002xr,0000000000000000012g,000000000000000001ge,000000000000000001w7,1890,1850,,00000000000000000005,7,,,7
000000000000000003fv,000000000000000000wr,000000000000000000x9,0000000000000000024e,3851,3811,,00000000000000000003,12,,,12
0000000000000000028j,000000000000000000y5,000000000000000000fy,000000000000000001ne,4735,4695,,00000000000000000001,14,,,14
000000000000000000pm,000000000000000000dn,000000000000000001j3,000000000000000001rg,1904,1864,,00000000000000000002,3,,,3
000000000000000003d7,000000000000000000fa,000000000000000001af,0000000000000000026x,4088,4048,,00000000000000000004,8,,,8
000000000000000001d5,000000000000000000vh,0000000000000000022k,0000000000000000020d,1272,1232,,00000000000000000005,1,,,1
000000000000000003bh,000000000000000000xr,0000000000000000019l,000000000000000001a7,2679,2639,,00000000000000000003,13,,,13
000000000000000002rk,000000000000000000px,000000000000000000wy,0000000000000000011v,4763,4723,,00000000000000000001,0,,,0
0000000000000000010d,000000000000000000eh,000000000000000001rz,000000000000000000a1,2861,2821,,00000000000000000002,6,,,6
000000000000000002no,000000000000000000jy,000000000000000000vk,000000000000000000zp,3074,3034,,00000000000000000004,11,,,11
000000000000000002cw,000000000000000000p2,0000000000000000019v,0000000000000000014h,4009,3969,,00000000000000000005,9,,,9
0000000000000000004y,00000000000000000075,000000000000000002eh,000000000000000001up,4050,4010,,00000000000000000003,5,,,5
000000000000000000dr,00000000000000000008,000000000000000002qd,0000000000000000017d,3737,3697,,00000000000000000001,4,,,4
000000000000000001gj,000000000000000000d4,000000000000000000s1,000000000000000001kk,295,255,,00000000000000000002,2,,,2
0000000000000000015g,000000000000000000tz,000000000000000001w7,00000000000000000014,1566,1526,,00000000000000000004,10,,,10
0000000000000000000j,0000000000000000004c,0000000000000000024e,000000000000000001tk,2383,2343,,00000000000000000005,7,,,7
000000000000000000v5,000000000000000000qx,000000000000000001ne,0000000000000000002y,318,278,,00000000000000000003,12,,,12
000000000000000004pd,000000000000000000ka,000000000000000002fh,000000000000000001do,2206,2166,,00000000000000000001,14,,,14
000000000000000000e4,000000000000000000nw,000000000000000001rg,000000000000000000lo,4615,4575,,00000000000000000002,3,,,3
000000000000000002of,000000000000000000jl,0000000000000000026x,0000000000000000003l,4478,4438,,00000000000000000004,8,,,8
000000000000000003l5,000000000000000000pc,0000000000000000020d,000000000000000001lf,1700,1660,,00000000000000000005,1,,,1
0000000000000000035y,0000000000000000010y,000000000000000001a7,000000000000000001fx,4461,4421,,00000000000000000003,13,,,13
000000000000000001fe,000000000000000000at,000000000000000002ly,0000000000000000005e,697,657,,00000000000000000001,0,,,0
0000000000000000044l,000000000000000000aj,0000000000000000011v,0000000000000000013z,793,753,,00000000000000000002,6,,,6
0000000000000000045a,000000000000000000e0,000000000000000000a1,0000000000000000013h,4439,4399,,00000000000000000004,11,,,11
000000000000000002xv,000000000000000000kf,000000000000000000zp,000000000000000002cj,2249,2209,,00000000000000000005,9,,,9
000000000000000003mf,0000000000000000008q,0000000000000000014h,000000000000000000va,280,240,,00000000000000000003,5,,,5
000000000000000001fs,0000000000000000000q,000000000000000001up,00000000000000000167,4193,4153,,00000000000000000001,4,,,4
0000000000000000034g,000000000000000000cb,0000000000000000017d,000000000000000001ws,2389,2349,,00000000000000000002,2,,,2
000000000000000000y8,000000000000000000rx,000000000000000001kk,0000000000000000029d,1190,1150,,00000000000000000004,10,,,10
0000000000000000021b,000000000000000000tj,00000000000000000014,0000000000000000022s,390,350,,00000000000000000005,7,,,7
000000000000000004bg,000000000000000000e3,000000000000000001tk,000000000000000001hz,676,636,,00000000000000000003,12,,,12
000000000000000004o6,000000000000000000cc,000000000000000002ma,000000000000000001qq,2409,2369,,00000000000000000001,14,,,14
000000000000000003n7,000000000000000000c3,0000000000000000002y,0000000000000000012k,761,721,,00000000000000000002,3,,,3
0000000000000000026d,000000000000000000cx,000000000000000001do,000000000000000001f0,2551,2511,,00000000000000000004,8,,,8
000000000000000002ca,0000000000000000013k,000000000000000000lo,000000000000000001lp,4720,4680,,00000000000000000005,1,,,1
00000000000000000329,00000000000000000048,000000000000000002j7,000000000000000001wb,1410,1370,,00000000000000000003,13,,,13
0000000000000000033e,000000000000000000dj,0000000000000000003l,0000000000000000027k,814,774,,00000000000000000001,0,,,0
000000000000000002up,000000000000000000cz,000000000000000001lf,0000000000000000020k,2451,2411,,00000000000000000002,6,,,6
00000000000000000073,000000000000000000ui,000000000000000001fx,000000000000000000nd,2191,2151,,00000000000000000004,11,,,11
000000000000000003vy,000000000000000000g5,0000000000000000005e,00000000000000000293,2435,2395,,00000000000000000005,9,,,9
000000000000000003va,000000000000000000t3,0000000000000000013z,000000000000000001me,1247,1207,,00000000000000000003,5,,,5
000000000000000004c7,0000000000000000012t,000000000000000002k1,000000000000000001i1,1204,1164,,00000000000000000001,4,,,4
0000000000000000016e,0000000000000000007o,0000000000000000013h,0000000000000000023t,3973,3933,,00000000000000000002,2,,,2
000000000000000001t3,0000000000000000002c,000000000000000002cj,000000000000000000oz,1926,1886,,00000000000000000004,10,,,10
0000000000000000007q,000000000000000000v9,000000000000000000va,000000000000000002bi,1237,1197,,00000000000000000005,7,,,7
0000000000000000046r,00000000000000000022,00000000000000000167,0000000000000000012l,614,574,,00000000000000000003,12,,,12
000000000000000001o6,000000000000000000qh,000000000000000001ws,000000000000000001gn,3885,3845,,00000000000000000001,14,,,14
000000000000000003j3,00000000000000000143,0000000000000000029d,000000000000000001c0,2023,1983,,00000000000000000002,3,,,3
000000000000000003fa,000000000000000000kj,0000000000000000022s,000000000000000001ga,1711,1671,,00000000000000000004,8,,,8
000000000000000001a4,000000000000000000ic,000000000000000002px,000000000000000000qp,2724,2684,,00000000000000000005,1,,,1
000000000000000003et,000000000000000000dq,000000000000000001hz,0000000000000000028n,1681,1641,,00000000000000000003,13,,,13
000000000000000000i9,00000000000000000053,000000000000000001qq,000000000000000000w6,1226,1186,,00000000000000000001,0,,,0
0000000000000000046l,000000000000000000ly,000000000000000002ez,000000000000000001y0,3684,3644,,00000000000000000002,6,,,6
000000000000000000kx,0000000000000000009g,0000000000000000012k,000000000000000001lg,2343,2303,,00000000000000000004,11,,,11
000000000000000003e7,0000000000000000001a,000000000000000001f0,000000000000000001hk,1176,1136,,00000000000000000005,9,,,9
000000000000000001pd,0000000000000000000e,000000000000000001lp,0000000000000000017m,1691,1651,,00000000000000000003,5,,,5
0000000000000000006o,000000000000000000my,000000000000000001wb,000000000000000001zb,3153,3113,,00000000000000000001,4,,,4
0000000000000000037d,000000000000000000p1,0000000000000000027k,0000000000000000011g,3581,3541,,00000000000000000002,2,,,2
000000000000000003qz,000000000000000000ox,0000000000000000020k,0000000000000000008a,1049,1009,,00000000000000000004,10,,,10
000000000000000001t9,0000000000000000007l,000000000000000000nd,0000000000000000003m,2495,2455,,00000000000000000005,7,,,7
000000000000000000vy,000000000000000000oc,00000000000000000293,000000000000000001pj,4787,4747,,00000000000000000003,12,,,12
0000000000000000009q,000000000000000000rw,000000000000000001me,000000000000000000gi,2790,2750,,00000000000000000001,14,,,14
000000000000000000ho,0000000000000000008w,000000000000000001i1,0000000000000000020j,2178,2138,,00000000000000000002,3,,,3
000000000000000001tt,000000000000000000nk,0000000000000000023t,000000000000000001yf,3189,3149,,00000000000000000004,8,,,8
000000000000000000k1,000000000000000000so,000000000000000000oz,0000000000000000017s,4044,4004,,00000000000000000005,1,,,1
000000000000000001xr,000000000000000000ni,000000000000000002bi,00000000000000000295,2324,2284,,00000000000000000003,13,,,13
000000000000000003m0,00000000000000000032,0000000000000000012l,000000000000000001po,4705,4665,,00000000000000000001,0,,,0
000000000000000004kr,0000000000000000011t,000000000000000001gn,000000000000000000op,2881,2841,,00000000000000000002,6,,,6
00000000000000000122,0000000000000000006r,000000000000000001c0,000000000000000001v4,2645,2605,,00000000000000000004,11,,,11
000000000000000000li,000000000000000000ul,000000000000000001ga,000000000000000001vy,3630,3590,,00000000000000000005,9,,,9
000000000000000004cm,000000000000000000mn,000000000000000000qp,000000000000000001of,1703,1663,,00000000000000000003,5,,,5
000000000000000001uz,000000000000000000uh,0000000000000000028n,000000000000000000jr,3422,3382,,00000000000000000001,4,,,4
000000000000000001nr,00000000000000000097,000000000000000000w6,000000000000000001hd,4550,4510,,00000000000000000002,2,,,2
000000000000000001uj,00000000000000000132,000000000000000001y0,000000000000000001sl,1403,1363,,00000000000000000004,10,,,10
000000000000000000xj,000000000000000000nz,000000000000000002cn,000000000000000001nw,401,361,,00000000000000000005,7,,,7
000000000000000000wc,000000000000000000oi,000000000000000001lg,000000000000000000l4,1325,1285,,00000000000000000003,12,,,12
00000000000000000319,000000000000000000xi,000000000000000001hk,000000000000000001vn,1497,1457,,00000000000000000001,14,,,14
000000000000000001ge,000000000000000000up,0000000000000000017m,0000000000000000008i,2441,2401,,00000000000000000002,3,,,3
000000000000000000x9,00000000000000000042,000000000000000001zb,000000000000000001jy,1601,1561,,00000000000000000004,8,,,8
000000000000000000fy,000000000000000000ei,0000000000000000011g,0000000000000000029w,2076,2036,,00000000000000000005,1,,,1
000000000000000002yt,000000000000000000ll,0000000000000000008a,000000000000000001sv,80,40,,00000000000000000003,13,,,13
000000000000000003xa,000000000000000000fi,0000000000000000003m,000000000000000001w3,2400,2360,,00000000000000000001,0,,,0
000000000000000001j3,000000000000000000sw,000000000000000001pj,000000000000000001e8,4677,4637,,00000000000000000002,6,,,6
000000000000000001af,0000000000000000010m,000000000000000000gi,000000000000000001jc,3434,3394,,00000000000000000004,11,,,11
0000000000000000022k,0000000000000000004s,000000000000000002lk,000000000000000000dx,146,106,,00000000000000000005,9,,,9
0000000000000000019l,0000000000000000003x,0000000000000000020j,0000000000000000024r,1828,1788,,00000000000000000003,5,,,5
000000000000000000wy,000000000000000000da,000000000000000001yf,0000000000000000028p,820,780,,00000000000000000001,4,,,4
000000000000000004b2,000000000000000000oa,0000000000000000017s,000000000000000000zg,3323,3283,,00000000000000000002,2,,,2
000000000000000002t8,0000000000000000007e,00000000000000000295,00000000000000000080,3604,3564,,00000000000000000004,10,,,10
000000000000000003qp,0000000000000000010e,000000000000000001po,000000000000000001es,169,129,,00000000000000000005,7,,,7
000000000000000004jr,000000000000000000nb,000000000000000000op,0000000000000000005d,2107,2067,,00000000000000000003,12,,,12
000000000000000004qp,000000000000000000df,000000000000000001v4,0000000000000000012c,1909,1869,,00000000000000000001,14,,,14
000000000000000001rz,00000000000000000043,000000000000000001vy,0000000000000000011w,234,194,,00000000000000000002,3,,,3
000000000000000004gq,0000000000000000011i,000000000000000001of,000000000000000000bo,1479,1439,,00000000000000000004,8,,,8
000000000000000000vk,0000000000000000008f,000000000000000000jr,000000000000000000rq,3690,3650,,00000000000000000005,1,,,1
0000000000000000019v,0000000000000000005l,000000000000000001hd,0000000000000000018p,3353,3313,,00000000000000000003,13,,,13
000000000000000002eh,000000000000000000ev,000000000000000002im,000000000000000000ux,4529,4489,,00000000000000000001,0,,,0
000000000000000002qd,000000000000000000sp,000000000000000001sl,0000000000000000019o,4709,4669,,00000000000000000002,6,,,6
000000000000000000s1,000000000000000000p5,000000000000000001nw,0000000000000000027u,1461,1421,,00000000000000000004,11,,,11
000000000000000001w7,000000000000000000k7,000000000000000000l4,000000000000000001kl,3823,3783,,00000000000000000005,9,,,9
000000000000000003nv,0000000000000000002f,000000000000000001vn,0000000000000000002r,3083,3043,,00000000000000000003,5,,,5
0000000000000000024e,000000000000000000n1,0000000000000000008i,000000000000000001mf,1166,1126,,00000000000000000001,4,,,4
000000000000000001ne,0000000000000000002l,000000000000000001jy,000000000000000000aa,4306,4266,,00000000000000000002,2,,,2
000000000000000004oa,000000000000000000m0,0000000000000000029w,000000000000000001eg,1559,1519,,00000000000000000004,10,,,10
000000000000000002fh,000000000000000000w3,000000000000000001sv,000000000000000000q3,3983,3943,,00000000000000000005,7,,,7
000000000000000004dd,000000000000000000fj,000000000000000001w3,00000000000000000263,2516,2476,,00000000000000000003,12,,,12
00000000000000000338,000000000000000000r9,000000000000000001e8,000000000000000001j8,2969,2929,,00000000000000000001,14,,,14
000000000000000004or,000000000000000000qc,000000000000000001jc,0000000000000000029u,2732,2692,,00000000000000000002,3,,,3
000000000000000001rg,000000000000000000bc,000000000000000000dx,000000000000000000ma,4340,4300,,00000000000000000004,8,,,8
000000000000000003ll,000000000000000000gj,0000000000000000024r,0000000000000000001f,3565,3525,,00000000000000000005,1,,,1
000000000000000003w6,00000000000000000069,0000000000000000028p,000000000000000002bl,1983,1943,,00000000000000000003,13,,,13
0000000000000000026x,000000000000000000ik,000000000000000000zg,000000000000000001wm,4600,4560,,00000000000000000001,0,,,0
0000000000000000020d,000000000000000000ao,00000000000000000080,000000000000000001l5,2298,2258,,00000000000000000002,6,,,6
000000000000000002rq,000000000000000000a9,000000000000000001es,000000000000000000zj,3171,3131,,00000000000000000004,11,,,11
000000000000000001a7,000000000000000000fk,0000000000000000005d,0000000000000000016u,4643,4603,,00000000000000000005,9,,,9
000000000000000003qx,000000000000000000pd,0000000000000000012c,000000000000000000pf,1428,1388,,00000000000000000003,5,,,5
0000000000000000045u,0000000000000000003o,0000000000000000011w,00000000000000000289,1876,1836,,00000000000000000001,4,,,4
000000000000000002ly,000000000000000000tl,000000000000000000bo,00000000000000000098,2117,2077,,00000000000000000002,2,,,2
000000000000000003ha,000000000000000000ys,000000000000000000rq,000000000000000001ns,2499,2459,,00000000000000000004,10,,,10
000000000000000004k4,000000000000000000r6,0000000000000000018p,0000000000000000001c,3834,3794,,00000000000000000005,7,,,7
0000000000000000011v,0000000000000000004e,000000000000000000ux,0000000000000000026o,3732,3692,,00000000000000000003,12,,,12
000000000000000000a1,0000000000000000001w,0000000000000000019o,00000000000000000101,2904,2864,,00000000000000000001,14,,,14
000000000000000000zp,000000000000000000oe,0000000000000000027u,000000000000000001b8,2652,2612,,00000000000000000002,3,,,3
000000000000000004g6,000000000000000000na,000000000000000001kl,0000000000000000006e,4043,4003,,00000000000000000004,8,,,8
000000000000000003y1,0000000000000000010u,0000000000000000002r,0000000000000000001y,4739,4699,,00000000000000000005,1,,,1
0000000000000000014h,000000000000000000xw,000000000000000001mf,000000000000000001hs,881,841,,00000000000000000003,13,,,13
000000000000000004k3,000000000000000000h2,000000000000000000aa,000000000000000000q0,2959,2919,,00000000000000000001,0,,,0
000000000000000003yh,0000000000000000001s,000000000000000001eg,0000000000000000007m,2142,2102,,00000000000000000002,6,,,6
000000000000000001up,0000000000000000013b,000000000000000000q3,0000000000000000011x,3974,3934,,00000000000000000004,11,,,11
0000000000000000017d,000000000000000000yo,00000000000000000263,000000000000000000db,1985,1945,,00000000000000000005,9,,,9
000000000000000001kk,000000000000000000yq,000000000000000001j8,0000000000000000025g,4718,4678,,00000000000000000003,5,,,5
00000000000000000014,000000000000000000rh,0000000000000000029u,000000000000000000ld,2769,2729,,00000000000000000001,4,,,4
000000000000000001tk,0000000000000000008d,000000000000000002jo,000000000000000001um,939,899,,00000000000000000002,2,,,2
0000000000000000045v,0000000000000000000m,000000000000000000ma,0000000000000000012g,3046,3006,,00000000000000000004,10,,,10
000000000000000003kt,00000000000000000102,0000000000000000001f,0000000000000000018g,1429,1389,,00000000000000000005,7,,,7
000000000000000002ma,000000000000000000o2,000000000000000002bl,0000000000000000014v,1935,1895,,00000000000000000003,12,,,12
0000000000000000002y,000000000000000000tf,000000000000000002eu,000000000000000000wr,1768,1728,,00000000000000000001,14,,,14
000000000000000004tq,000000000000000000bx,000000000000000001wm,000000000000000000y5,1922,1882,,00000000000000000002,3,,,3
000000000000000003th,0000000000000000004j,000000000000000001l5,000000000000000001we,1001,961,,00000000000000000004,8,,,8
000000000000000001do,000000000000000000xa,000000000000000000zj,0000000000000000020w,2943,2903,,00000000000000000005,1,,,1
0000000000000000046m,000000000000000000hl,0000000000000000016u,000000000000000000dn,1198,1158,,00000000000000000003,13,,,13
000000000000000000lo,000000000000000000yk,000000000000000000pf,000000000000000000fa,2560,2520,,00000000000000000001,0,,,0
000000000000000004mg,00000000000000000065,00000000000000000289,000000000000000001vh,3087,3047,,00000000000000000002,6,,,6
000000000000000002j7,000000000000000000hu,00000000000000000098,000000000000000000vh,2108,2068,,00000000000000000004,11,,,11
000000000000000002r0,000000000000000000u6,000000000000000001ns,000000000000000000xr,1968,1928,,00000000000000000005,9,,,9
0000000000000000003l,000000000000000000wb,0000000000000000001c,0000000000000000019g,3715,3675,,00000000000000000003,5,,,5
0000000000000000044y,0000000000000000005s,0000000000000000026o,000000000000000000px,3769,3729,,00000000000000000001,4,,,4
000000000000000004ql,0000000000000000012i,00000000000000000101,000000000000000000eh,1610,1570,,00000000000000000002,2,,,2
000000000000000001lf,000000000000000000zw,000000000000000001b8,000000000000000000jy,2607,2567,,00000000000000000004,10,,,10
000000000000000001fx,0000000000000000007a,0000000000000000006e,000000000000000001su,1388,1348,,00000000000000000005,7,,,7
