trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
0000000000000000001p,0000000000000000000j,0000000000000000000j,000000000000000000vk,,000000000000000004rl,0,0,6177
000000000000000000g1,000000000000000000v5,000000000000000000v5,000000000000000000s1,,000000000000000000ty,1,1,1078
000000000000000000g2,000000000000000000e4,000000000000000000e4,0000000000000000011v,,000000000000000004x6,3,3,6378
0000000000000000006t,000000000000000001fe,000000000000000001fe,000000000000000000a1,,000000000000000007pf,4,4,9987
0000000000000000008s,000000000000000001fs,000000000000000001fs,000000000000000000zp,,000000000000000008xi,2,2,11574
00000000000000000040,000000000000000000y8,000000000000000000y8,00000000000000000014,,000000000000000000mw,0,0,824
000000000000000000dc,0000000000000000021b,0000000000000000021b,0000000000000000002y,,000000000000000004yf,1,1,6423
000000000000000000ac,00000000000000000073,00000000000000000073,000000000000000000lo,,000000000000000000p3,3,3,903
000000000000000000gf,0000000000000000016e,0000000000000000016e,0000000000000000003l,,000000000000000002wi,4,4,3762
0000000000000000006f,000000000000000001t3,000000000000000001t3,0000000000000000005e,,00000000000000000809,2,2,10377
0000000000000000000g,0000000000000000007q,0000000000000000007q,0000000000000000013z,,000000000000000008lz,0,0,11159
000000000000000000bk,000000000000000001o6,000000000000000001o6,0000000000000000013h,,000000000000000000b1,1,1,397
000000000000000000b6,000000000000000001a4,000000000000000001a4,000000000000000000va,,000000000000000006wj,3,3,8947
000000000000000000a2,000000000000000000i9,000000000000000000i9,0000000000000000012k,,0000000000000000037f,4,4,4155
00000000000000000097,000000000000000000kx,000000000000000000kx,000000000000000000nd,,00000000000000000488,2,2,5480
000000000000000000eu,000000000000000001pd,000000000000000001pd,000000000000000000oz,,000000000000000003cx,0,0,4353
000000000000000000fc,0000000000000000006o,0000000000000000006o,0000000000000000012l,,0000000000000000041z,1,1,5255
0000000000000000006a,000000000000000001t9,000000000000000001t9,000000000000000000qp,,000000000000000007mp,3,3,9889
000000000000000000bl,000000000000000000vy,000000000000000000vy,000000000000000000w6,,00000000000000000077,4,4,259
000000000000000000al,0000000000000000009q,0000000000000000009q,0000000000000000011g,,0000000000000000043a,2,2,5302
00000000000000000079,000000000000000000ho,000000000000000000ho,0000000000000000008a,,000000000000000001t7,0,0,2347
000000000000000000bq,000000000000000001tt,000000000000000001tt,0000000000000000003m,,0000000000000000074b,1,1,9227
000000000000000000es,000000000000000000k1,000000000000000000k1,000000000000000000gi,,0000000000000000068p,3,3,8089
000000000000000000bw,000000000000000001xr,000000000000000001xr,000000000000000000op,,000000000000000007pd,4,4,9985
0000000000000000000t,00000000000000000122,00000000000000000122,000000000000000000jr,,000000000000000005un,2,2,7583
000000000000000000c1,000000000000000000li,000000000000000000li,000000000000000000l4,,0000000000000000044h,0,0,5345
0000000000000000004f,000000000000000001uz,000000000000000001uz,0000000000000000008i,,0000000000000000003r,1,1,135
0000000000000000002q,000000000000000001nr,000000000000000001nr,000000000000000000dx,,000000000000000004jz,3,3,5903
000000000000000000eq,000000000000000001uj,000000000000000001uj,000000000000000000zg,,000000000000000003h3,4,4,4503
0000000000000000002d,000000000000000000xj,000000000000000000xj,00000000000000000080,,000000000000000004gl,2,2,5781
0000000000000000005c,000000000000000000wc,000000000000000000wc,0000000000000000005d,,00000000000000000578,0,0,6740
000000000000000000hs,000000000000000001ge,000000000000000001ge,0000000000000000012c,,000000000000000007cf,1,1,9519
000000000000000000ds,000000000000000000x9,000000000000000000x9,0000000000000000011w,,000000000000000002q1,3,3,3529
0000000000000000008k,000000000000000000fy,000000000000000000fy,000000000000000000bo,,000000000000000007j0,4,4,9756
0000000000000000009u,000000000000000001j3,000000000000000001j3,000000000000000000rq,,000000000000000001d9,2,2,1773
0000000000000000003f,000000000000000001af,000000000000000001af,000000000000000000ux,,000000000000000001xs,0,0,2512
0000000000000000004r,0000000000000000022k,0000000000000000022k,0000000000000000002r,,00000000000000000632,1,1,7886
000000000000000000be,0000000000000000019l,0000000000000000019l,000000000000000000aa,,000000000000000006g3,3,3,8355
000000000000000000fu,000000000000000000wy,000000000000000000wy,000000000000000000q3,,0000000000000000052n,4,4,6575
000000000000000000ew,000000000000000001rz,000000000000000001rz,000000000000000000ma,,000000000000000000s0,2,2,1008
0000000000000000002x,000000000000000000vk,000000000000000000vk,0000000000000000001f,,000000000000000002wq,0,0,3770
0000000000000000009q,0000000000000000019v,0000000000000000019v,000000000000000000zj,,000000000000000007i6,1,1,9726
0000000000000000000j,000000000000000000s1,000000000000000000s1,000000000000000000pf,,0000000000000000090z,3,3,11699
000000000000000000dq,000000000000000001w7,000000000000000001w7,00000000000000000098,,0000000000000000063t,4,4,7913
0000000000000000002r,000000000000000001ne,000000000000000001ne,0000000000000000001c,,000000000000000002c6,2,2,3030
000000000000000000fg,000000000000000001rg,000000000000000001rg,00000000000000000101,,000000000000000004r1,0,0,6157
00000000000000000096,0000000000000000020d,0000000000000000020d,0000000000000000006e,,000000000000000003ca,1,1,4330
000000000000000000e4,000000000000000001a7,000000000000000001a7,0000000000000000001y,,0000000000000000011q,3,3,1358
0000000000000000002j,0000000000000000011v,0000000000000000011v,000000000000000000q0,,000000000000000003pe,4,4,4802
0000000000000000009o,000000000000000000a1,000000000000000000a1,0000000000000000007m,,000000000000000004u1,2,2,6265
00000000000000000047,000000000000000000zp,000000000000000000zp,0000000000000000011x,,000000000000000004ph,0,0,6101
0000000000000000004n,0000000000000000014h,0000000000000000014h,000000000000000000db,,000000000000000000n4,1,1,832
0000000000000000008i,000000000000000001up,000000000000000001up,000000000000000000ld,,00000000000000000116,3,3,1338
0000000000000000000b,0000000000000000017d,0000000000000000017d,0000000000000000012g,,000000000000000005lr,4,4,7263
0000000000000000007y,000000000000000001kk,000000000000000001kk,000000000000000000wr,,00000000000000000106,2,2,1302
000000000000000000ad,00000000000000000014,00000000000000000014,000000000000000000y5,,0000000000000000026c,0,0,2820
000000000000000000h5,000000000000000001tk,000000000000000001tk,000000000000000000dn,,000000000000000003q7,1,1,4831
000000000000000000af,0000000000000000002y,0000000000000000002y,000000000000000000fa,,000000000000000006au,3,3,8166
0000000000000000006p,000000000000000001do,000000000000000001do,000000000000000000vh,,000000000000000008fp,4,4,10933
0000000000000000005w,000000000000000000lo,000000000000000000lo,000000000000000000xr,,00000000000000000378,2,2,4148
000000000000000000cz,0000000000000000003l,0000000000000000003l,000000000000000000px,,000000000000000002x6,0,0,3786
0000000000000000000y,000000000000000001lf,000000000000000001lf,000000000000000000eh,,000000000000000008o5,1,1,11237
00000000000000000074,000000000000000001fx,000000000000000001fx,000000000000000000jy,,000000000000000006s3,3,3,8787
000000000000000000gq,0000000000000000005e,0000000000000000005e,000000000000000000p2,,000000000000000007zt,4,4,10361
000000000000000000ed,0000000000000000013z,0000000000000000013z,00000000000000000075,,000000000000000005mf,2,2,7287
00000000000000000091,0000000000000000013h,0000000000000000013h,00000000000000000008,,0000000000000000003h,0,0,125
000000000000000000ai,000000000000000000va,000000000000000000va,000000000000000000d4,,00000000000000000627,1,1,7855
0000000000000000006z,00000000000000000167,00000000000000000167,000000000000000000tz,,000000000000000000np,3,3,853
000000000000000000d4,000000000000000001ws,000000000000000001ws,0000000000000000004c,,000000000000000004yc,4,4,6420
0000000000000000004k,0000000000000000022s,0000000000000000022s,000000000000000000qx,,0000000000000000060x,2,2,7809
0000000000000000006c,000000000000000001hz,000000000000000001hz,000000000000000000ka,,000000000000000006d0,0,0,8244
000000000000000000gd,000000000000000001qq,000000000000000001qq,000000000000000000nw,,00000000000000000798,1,1,9404
0000000000000000004z,0000000000000000012k,0000000000000000012k,000000000000000000jl,,000000000000000000qz,3,3,971
000000000000000000h6,000000000000000001f0,000000000000000001f0,000000000000000000pc,,000000000000000002z8,4,4,3860
00000000000000000016,000000000000000001lp,000000000000000001lp,0000000000000000010y,,000000000000000008lk,2,2,11144
0000000000000000002b,000000000000000001wb,000000000000000001wb,000000000000000000at,,000000000000000004xf,0,0,6387
0000000000000000003w,0000000000000000020k,0000000000000000020k,000000000000000000aj,,000000000000000007v9,1,1,10197
000000000000000000h1,000000000000000000nd,000000000000000000nd,000000000000000000e0,,0000000000000000004k,3,3,164
000000000000000000hx,000000000000000001me,000000000000000001me,000000000000000000kf,,0000000000000000038w,4,4,4208
000000000000000000he,000000000000000001i1,000000000000000001i1,0000000000000000008q,,000000000000000007ym,2,2,10318
0000000000000000003o,000000000000000000oz,000000000000000000oz,0000000000000000000q,,000000000000000008aa,0,0,10738
000000000000000000b9,0000000000000000012l,0000000000000000012l,000000000000000000cb,,000000000000000008as,1,1,10756
000000000000000000c8,000000000000000001gn,000000000000000001gn,000000000000000000rx,,0000000000000000027u,3,3,2874
0000000000000000009h,000000000000000001c0,000000000000000001c0,000000000000000000tj,,00000000000000000633,4,4,7887
000000000000000000cw,000000000000000001ga,000000000000000001ga,000000000000000000e3,,000000000000000006mt,2,2,8597
000000000000000000em,000000000000000000qp,000000000000000000qp,000000000000000000cc,,0000000000000000030e,0,0,3902
000000000000000000fj,000000000000000000w6,000000000000000000w6,000000000000000000c3,,000000000000000007m9,1,1,9873
000000000000000000bc,000000000000000001y0,000000000000000001y0,000000000000000000cx,,000000000000000000h5,3,3,617
000000000000000000ee,000000000000000001lg,000000000000000001lg,0000000000000000013k,,000000000000000000ex,4,4,537
0000000000000000009r,000000000000000001hk,000000000000000001hk,00000000000000000048,,000000000000000006o3,2,2,8643
00000000000000000019,0000000000000000017m,0000000000000000017m,000000000000000000dj,,000000000000000008n1,0,0,11197
0000000000000000004h,000000000000000001zb,000000000000000001zb,000000000000000000cz,,000000000000000007eh,1,1,9593
00000000000000000046,0000000000000000011g,0000000000000000011g,000000000000000000ui,,000000000000000008j9,3,3,11061
000000000000000000dw,0000000000000000008a,0000000000000000008a,000000000000000000g5,,000000000000000008hv,4,4,11011
000000000000000000h7,0000000000000000003m,0000000000000000003m,000000000000000000t3,,000000000000000004w1,2,2,6337
000000000000000000e2,000000000000000001pj,000000000000000001pj,0000000000000000012t,,000000000000000006w7,0,0,8935
00000000000000000013,000000000000000000gi,000000000000000000gi,0000000000000000007o,,000000000000000008dk,1,1,10856
00000000000000000005,0000000000000000020j,0000000000000000020j,0000000000000000002c,,000000000000000001wv,3,3,2479
0000000000000000003m,000000000000000001yf,000000000000000001yf,000000000000000000v9,,000000000000000007oj,4,4,9955
0000000000000000009t,0000000000000000017s,0000000000000000017s,00000000000000000022,,000000000000000006z2,2,2,9038
0000000000000000002p,000000000000000001po,000000000000000001po,000000000000000000qh,,00000000000000000317,0,0,3931
000000000000000000e0,000000000000000000op,000000000000000000op,00000000000000000143,,000000000000000006b6,1,1,8178
00000000000000000085,000000000000000001v4,000000000000000001v4,000000000000000000kj,,0000000000000000056t,3,3,6725
000000000000000000ff,000000000000000001vy,000000000000000001vy,000000000000000000ic,,0000000000000000001a,4,4,46
0000000000000000008g,000000000000000001of,000000000000000001of,000000000000000000dq,,000000000000000008l8,2,2,11132
000000000000000000ch,000000000000000000jr,000000000000000000jr,00000000000000000053,,000000000000000002pm,0,0,3514
000000000000000000fz,000000000000000001hd,000000000000000001hd,000000000000000000ly,,0000000000000000046l,1,1,5421
0000000000000000006j,000000000000000001sl,000000000000000001sl,0000000000000000009g,,000000000000000005wu,3,3,7662
0000000000000000001k,000000000000000001nw,000000000000000001nw,0000000000000000001a,,0000000000000000030j,4,4,3907
000000000000000000cf,000000000000000000l4,000000000000000000l4,0000000000000000000e,,0000000000000000022k,2,2,2684
000000000000000000ej,000000000000000001vn,000000000000000001vn,000000000000000000my,,000000000000000005lz,0,0,7271
000000000000000000dd,0000000000000000008i,0000000000000000008i,000000000000000000p1,,000000000000000004om,1,1,6070
000000000000000000b2,000000000000000001jy,000000000000000001jy,000000000000000000ox,,000000000000000008my,3,3,11194
00000000000000000076,000000000000000001sv,000000000000000001sv,0000000000000000007l,,000000000000000006ub,4,4,8867
0000000000000000004i,000000000000000001w3,000000000000000001w3,000000000000000000oc,,000000000000000008lp,2,2,11149
0000000000000000004w,000000000000000001e8,000000000000000001e8,000000000000000000rw,,00000000000000000829,0,0,10449
000000000000000000f0,000000000000000001jc,000000000000000001jc,0000000000000000008w,,000000000000000007g0,1,1,9648
000000000000000000aq,000000000000000000dx,000000000000000000dx,000000000000000000nk,,000000000000000006kq,3,3,8522
000000000000000000h2,000000000000000000zg,000000000000000000zg,000000000000000000so,,000000000000000005so,4,4,7512
000000000000000000a5,00000000000000000080,00000000000000000080,000000000000000000ni,,000000000000000003bo,2,2,4308
000000000000000000bd,000000000000000001es,000000000000000001es,00000000000000000032,,000000000000000002b9,0,0,2997
000000000000000000f4,0000000000000000005d,0000000000000000005d,0000000000000000011t,,000000000000000008ir,1,1,11043
0000000000000000000i,0000000000000000012c,0000000000000000012c,0000000000000000006r,,00000000000000000277,3,3,2851
000000000000000000d0,0000000000000000011w,0000000000000000011w,000000000000000000ul,,000000000000000006uy,4,4,8890
0000000000000000001o,000000000000000000bo,000000000000000000bo,000000000000000000mn,,00000000000000000028,2,2,80
000000000000000000fb,000000000000000000rq,000000000000000000rq,000000000000000000uh,,000000000000000007y0,0,0,10296
0000000000000000005k,0000000000000000018p,0000000000000000018p,00000000000000000097,,000000000000000001lo,1,1,2076
0000000000000000004b,000000000000000000ux,000000000000000000ux,00000000000000000132,,000000000000000001u1,3,3,2377
000000000000000000dl,0000000000000000019o,0000000000000000019o,000000000000000000nz,,000000000000000001w4,4,4,2452
000000000000000000gu,000000000000000001kl,000000000000000001kl,000000000000000000oi,,000000000000000001hn,2,2,1931
000000000000000000h9,0000000000000000002r,0000000000000000002r,000000000000000000xi,,000000000000000006gp,0,0,8377
00000000000000000002,000000000000000001mf,000000000000000001mf,000000000000000000up,,000000000000000004t2,1,1,6230
0000000000000000001g,000000000000000000aa,000000000000000000aa,00000000000000000042,,000000000000000005vj,3,3,7615
0000000000000000009j,000000000000000001eg,000000000000000001eg,000000000000000000ei,,000000000000000008k7,4,4,11095
0000000000000000008v,000000000000000000q3,000000000000000000q3,000000000000000000ll,,000000000000000001dd,2,2,1777
00000000000000000066,000000000000000001j8,000000000000000001j8,000000000000000000fi,,00000000000000000900,0,0,11664
0000000000000000001x,000000000000000000ma,000000000000000000ma,000000000000000000sw,,000000000000000006h5,1,1,8393
0000000000000000006e,0000000000000000001f,0000000000000000001f,0000000000000000010m,,000000000000000007tv,3,3,10147
0000000000000000002m,000000000000000001wm,000000000000000001wm,0000000000000000004s,,000000000000000001v5,4,4,2417
000000000000000000bu,000000000000000001l5,000000000000000001l5,0000000000000000003x,,000000000000000003e3,2,2,4395
000000000000000000bf,000000000000000000zj,000000000000000000zj,000000000000000000da,,00000000000000000864,0,0,10588
000000000000000000gk,0000000000000000016u,0000000000000000016u,000000000000000000oa,,0000000000000000010y,1,1,1330
000000000000000000a1,000000000000000000pf,000000000000000000pf,0000000000000000007e,,000000000000000006er,3,3,8307
0000000000000000008h,00000000000000000098,00000000000000000098,0000000000000000010e,,000000000000000007wa,4,4,10234
0000000000000000009k,000000000000000001ns,000000000000000001ns,000000000000000000nb,,0000000000000000022a,2,2,2674
000000000000000000d6,0000000000000000001c,0000000000000000001c,000000000000000000df,,000000000000000007hj,0,0,9703
00000000000000000060,00000000000000000101,00000000000000000101,00000000000000000043,,0000000000000000043z,1,1,5327
000000000000000000fv,000000000000000001b8,000000000000000001b8,0000000000000000011i,,000000000000000008l6,3,3,11130
000000000000000000fi,0000000000000000006e,0000000000000000006e,0000000000000000008f,,000000000000000008ys,4,4,11620
000000000000000000am,0000000000000000001y,0000000000000000001y,0000000000000000005l,,000000000000000003bk,2,2,4304
00000000000000000042,000000000000000001hs,000000000000000001hs,000000000000000000ev,,000000000000000008wu,0,0,11550
0000000000000000005t,000000000000000000q0,000000000000000000q0,000000000000000000sp,,0000000000000000016i,1,1,1530
000000000000000000at,0000000000000000007m,0000000000000000007m,000000000000000000p5,,0000000000000000006g,3,3,232
0000000000000000000o,0000000000000000011x,0000000000000000011x,000000000000000000k7,,000000000000000004rx,4,4,6189
000000000000000000hc,000000000000000000db,000000000000000000db,0000000000000000002f,,000000000000000007hy,2,2,9718
00000000000000000028,000000000000000000ld,000000000000000000ld,000000000000000000n1,,0000000000000000062v,0,0,7879
0000000000000000001q,000000000000000001um,000000000000000001um,0000000000000000002l,,00000000000000000551,1,1,6661
000000000000000000gr,0000000000000000012g,0000000000000000012g,000000000000000000m0,,0000000000000000085h,3,3,10565
000000000000000000f3,0000000000000000018g,0000000000000000018g,000000000000000000w3,,000000000000000007sj,4,4,10099
000000000000000000hy,0000000000000000014v,0000000000000000014v,000000000000000000fj,,00000000000000000331,2,2,3997
0000000000000000009f,000000000000000000wr,000000000000000000wr,000000000000000000r9,,000000000000000007gr,0,0,9675
0000000000000000003d,000000000000000000y5,000000000000000000y5,000000000000000000qc,,00000000000000000653,1,1,7959
0000000000000000003b,000000000000000001we,000000000000000001we,000000000000000000bc,,000000000000000000l6,3,3,762
0000000000000000001v,0000000000000000020w,0000000000000000020w,000000000000000000gj,,00000000000000000620,4,4,7848
0000000000000000002h,000000000000000000dn,000000000000000000dn,00000000000000000069,,000000000000000008tc,2,2,11424
00000000000000000088,000000000000000000fa,000000000000000000fa,000000000000000000ik,,000000000000000004si,0,0,6210
000000000000000000hl,000000000000000001vh,000000000000000001vh,000000000000000000ao,,00000000000000000253,1,1,2775
0000000000000000008q,000000000000000000vh,000000000000000000vh,000000000000000000a9,,000000000000000007w1,3,3,10225
0000000000000000002k,000000000000000000xr,000000000000000000xr,000000000000000000fk,,000000000000000005i4,4,4,7132
000000000000000000ae,0000000000000000019g,0000000000000000019g,000000000000000000pd,,000000000000000007qn,2,2,10031
000000000000000000hv,000000000000000000px,000000000000000000px,0000000000000000003o,,000000000000000000eu,0,0,534
000000000000000000fy,000000000000000000eh,000000000000000000eh,000000000000000000tl,,000000000000000000qf,1,1,951
000000000000000000fs,000000000000000000jy,000000000000000000jy,000000000000000000ys,,000000000000000006qc,3,3,8724
000000000000000000hu,000000000000000001su,000000000000000001su,000000000000000000r6,,000000000000000008ll,4,4,11145
000000000000000000f8,000000000000000001g9,000000000000000001g9,0000000000000000004e,,000000000000000003wu,2,2,5070
0000000000000000003e,000000000000000000p2,000000000000000000p2,0000000000000000001w,,0000000000000000085p,0,0,10573
00000000000000000041,000000000000000001r6,000000000000000001r6,000000000000000000oe,,000000000000000001vt,1,1,2441
00000000000000000043,00000000000000000075,00000000000000000075,000000000000000000na,,0000000000000000045o,3,3,5388
000000000000000000dm,0000000000000000019z,0000000000000000019z,0000000000000000010u,,000000000000000002z5,4,4,3857
000000000000000000hk,00000000000000000008,00000000000000000008,000000000000000000xw,,000000000000000007gu,2,2,9678
00000000000000000080,000000000000000000d4,000000000000000000d4,000000000000000000h2,,0000000000000000045r,0,0,5391
000000000000000000bt,000000000000000001gc,000000000000000001gc,0000000000000000001s,,000000000000000003jb,1,1,4583
0000000000000000004t,000000000000000000tz,000000000000000000tz,0000000000000000013b,,000000000000000006zh,3,3,9053
000000000000000000cu,000000000000000001tj,000000000000000001tj,000000000000000000yo,,0000000000000000047c,4,4,5448
000000000000000000er,0000000000000000004c,0000000000000000004c,000000000000000000yq,,000000000000000002xl,2,2,3801
000000000000000000h3,0000000000000000021u,0000000000000000021u,000000000000000000rh,,000000000000000008dc,0,0,10848
0000000000000000000w,000000000000000000qx,000000000000000000qx,0000000000000000008d,,0000000000000000053y,1,1,6622
000000000000000000cb,000000000000000000ka,000000000000000000ka,0000000000000000000m,,000000000000000001ws,3,3,2476
000000000000000000bn,000000000000000001dw,000000000000000001dw,00000000000000000102,,00000000000000000036,4,4,114
0000000000000000001n,00000000000000000220,00000000000000000220,000000000000000000o2,,000000000000000008c0,2,2,10800
000000000000000000el,0000000000000000020i,0000000000000000020i,000000000000000000tf,,00000000000000000304,0,0,3892
000000000000000000et,000000000000000001h5,000000000000000001h5,000000000000000000bx,,000000000000000003m4,1,1,4684
0000000000000000002n,000000000000000000nw,000000000000000000nw,0000000000000000004j,,000000000000000004a3,3,3,5547
000000000000000000ck,000000000000000000jl,000000000000000000jl,000000000000000000xa,,000000000000000003f9,4,4,4437
000000000000000000dr,0000000000000000017j,0000000000000000017j,000000000000000000hl,,000000000000000000qi,2,2,954
000000000000000000ht,000000000000000001ue,000000000000000001ue,000000000000000000yk,,000000000000000002jy,0,0,3310
000000000000000000ei,000000000000000000pc,000000000000000000pc,00000000000000000065,,000000000000000000ro,1,1,996
000000000000000000cn,000000000000000001w5,000000000000000001w5,000000000000000000hu,,00000000000000000187,3,3,1591
000000000000000000cr,000000000000000001rb,000000000000000001rb,000000000000000000u6,,000000000000000007tl,4,4,10137
000000000000000000eh,0000000000000000010y,0000000000000000010y,000000000000000000wb,,000000000000000000ri,2,2,990
000000000000000000bx,000000000000000000at,000000000000000000at,0000000000000000005s,,000000000000000005xl,0,0,7689
0000000000000000001j,00000000000000000147,00000000000000000147,0000000000000000012i,,000000000000000006nx,1,1,8637
000000000000000000bp,000000000000000000aj,000000000000000000aj,000000000000000000zw,,000000000000000001m6,3,3,2094
0000000000000000001m,000000000000000001t7,000000000000000001t7,0000000000000000007a,,00000000000000000571,4,4,6733
000000000000000000dv,000000000000000001zq,000000000000000001zq,0000000000000000012h,,000000000000000007bm,2,2,9490
0000000000000000008u,000000000000000001q1,000000000000000001q1,000000000000000000q4,,000000000000000005pc,0,0,7392
0000000000000000005g,000000000000000001a0,000000000000000001a0,000000000000000000xs,,00000000000000000437,1,1,5299
0000000000000000001f,000000000000000000e0,000000000000000000e0,000000000000000000xx,,000000000000000007m2,3,3,9866
0000000000000000008t,000000000000000001v3,000000000000000001v3,000000000000000000ju,,00000000000000000733,4,4,9183
0000000000000000004q,000000000000000001ub,000000000000000001ub,0000000000000000007i,,000000000000000000wx,2,2,1185
000000000000000000ao,000000000000000000kf,000000000000000000kf,000000000000000000oj,,00000000000000000949,0,0,11817
0000000000000000007j,0000000000000000008q,0000000000000000008q,000000000000000000bm,,000000000000000005fh,1,1,7037
000000000000000000fr,000000000000000001r3,000000000000000001r3,000000000000000000wh,,0000000000000000028n,3,3,2903
000000000000000000h4,000000000000000001l9,000000000000000001l9,0000000000000000002z,,000000000000000001xl,4,4,2505
0000000000000000006u,00000000000000000163,00000000000000000163,00000000000000000051,,000000000000000004s0,2,2,6192
0000000000000000009i,0000000000000000000q,0000000000000000000q,000000000000000000io,,000000000000000002s5,0,0,3605
0000000000000000003n,0000000000000000016m,0000000000000000016m,000000000000000000fx,,0000000000000000038e,1,1,4190
000000000000000000aj,000000000000000000cb,000000000000000000cb,000000000000000000r8,,000000000000000005ra,3,3,7462
0000000000000000001r,000000000000000000rx,000000000000000000rx,000000000000000000hh,,000000000000000004fq,4,4,5750
000000000000000000hh,00000000000000000161,00000000000000000161,00000000000000000118,,0000000000000000019m,2,2,1642
0000000000000000005u,000000000000000000tj,000000000000000000tj,000000000000000000zi,,000000000000000001dc,0,0,1776
000000000000000000bj,0000000000000000022b,0000000000000000022b,000000000000000000l3,,0000000000000000051s,1,1,6544
00000000000000000012,000000000000000000e3,000000000000000000e3,0000000000000000006f,,0000000000000000068q,3,3,8090
